model,seed,batch_size,history_count,query_count,repeat,model_only_ms,end_to_end_ms,preprocess_ms,model_stage_ms,reconstruct_ms
cru,17,1,32,1,25,67.39860400557518,68.93283035606146,0.25158561766147614,66.30643457174301,0.10248273611068726
cru,17,1,32,1,26,65.70173893123865,65.85605815052986,0.19797403365373611,63.815632835030556,0.08267257362604141
cru,17,1,32,1,27,65.00560790300369,65.69803692400455,0.1999819651246071,65.5440129339695,0.07725507020950317
cru,17,1,32,1,28,64.22012858092785,66.87536556273699,0.22168178111314774,64.1006464138627,0.08298829197883606
cru,17,1,32,1,29,63.110257498919964,65.90888369828463,0.20481180399656296,64.03452344238758,0.08177757263183594
cru,17,1,32,1,30,65.59740751981735,65.21939672529697,0.19730720669031143,65.17910026013851,0.08176267147064209
cru,17,1,32,1,31,66.4901714771986,65.79550914466381,0.20449236035346985,65.09744748473167,0.08341670036315918
cru,17,1,32,1,32,67.25692097097635,65.17634354531765,0.21287985146045685,65.92382024973631,0.08681323379278183
cru,17,1,32,1,33,64.47114143520594,64.7340975701809,0.20732823759317398,66.50732178241014,0.09190011769533157
cru,17,1,32,1,34,65.173021517694,66.93342886865139,0.24336297065019608,67.90945958346128,0.09485706686973572
cru,17,1,32,1,35,68.29220242798328,66.33584573864937,0.21110940724611282,69.00122854858637,0.0921906903386116
cru,17,1,32,1,36,69.01405844837427,70.59654965996742,0.21408218890428543,66.07684679329395,0.08193869143724442
cru,17,1,32,1,37,64.58490528166294,66.306097432971,0.22558961063623428,65.33672008663416,0.0849999487400055
cru,17,1,32,1,38,66.29705987870693,65.42671844363213,0.20040571689605713,65.90642873197794,0.09058602154254913
cru,17,1,32,1,39,64.17169142514467,63.647596165537834,0.19873492419719696,67.00839195400476,0.10307785123586655
cru,17,1,32,1,40,63.58528323471546,70.93843817710876,0.22723153233528137,70.58703619986773,0.1184539869427681
cru,17,1,32,1,41,68.22666898369789,66.61065481603146,0.23592263460159302,65.65774418413639,0.08536502718925476
cru,17,1,32,1,42,66.61116611212492,65.13558141887188,0.20606163889169693,66.7676655575633,0.09689852595329285
cru,17,1,32,1,43,68.0259233340621,67.02724192291498,0.2264697104692459,67.00114160776138,0.09077135473489761
cru,17,1,32,1,44,66.38714484870434,65.04453159868717,0.20284950733184814,64.06910438090563,0.09376183152198792
cru,17,1,32,1,45,64.14832826703787,66.58777315169573,0.22982433438301086,69.05448623001575,0.08950196206569672
cru,17,1,32,1,46,66.09397009015083,66.90923869609833,0.20522717386484146,67.1986835077405,0.08177105337381363
cru,17,1,32,1,47,64.88336343318224,67.01830867677927,0.1939060166478157,68.58775112777948,0.09660609066486359
cru,17,1,32,1,48,67.50121153891087,68.85817181318998,0.22575072944164276,66.43217522650957,0.08054915815591812
cru,17,1,32,1,49,65.17523340880871,65.24271983653307,0.2092793583869934,67.2117006033659,0.10220985859632492
cru,17,1,32,6,0,67.14028678834438,66.89275987446308,0.20505115389823914,67.52333045005798,0.09702704846858978
