model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
Linear,csi_32,far_maneuver,1296,42.761695454386654,16.31054916178625,-5.490734025543596,16.125214734905878
W,csi_32,far_normal,1296,0.14759834110736847,-8.309185236238484,-9.22934559391442,-8.203181665867831
Hold,csi_32,far_normal,1296,0.08742774867729242,-10.583507048395324,-15.552157969132523,-10.369304562098517
Linear,csi_32,far_normal,1296,52.78417514149857,17.22503739222415,-3.658177307899262,16.975972367758793
W,csi_32,far_occlusion,2580,21.82245635986328,13.3890363367179,-0.7458271328793731,-0.055599966311719935
Hold,csi_32,far_occlusion,2580,116.9462948880427,20.679864669731526,-1.7707620801042023,-0.01751367219390079
Linear,csi_32,far_occlusion,2580,133381.29030490544,51.250949143841034,6.990206608330607,13.290184755085006
W,csi_32,near_maneuver,1296,0.15218381583690643,-8.176315306564428,-8.699297078501653,-8.016220351115239
Hold,csi_32,near_maneuver,1296,0.15538535086223543,-8.085899272312485,-10.270539482328909,-7.840802485934454
Linear,csi_32,near_maneuver,1296,20.26221786338511,13.066869806645636,-3.9678412057264807,13.143848645245503
W,csi_32,near_normal,1296,0.30897217988967896,-5.100806230487062,-5.311986262333608,-5.006741404496951
Hold,csi_32,near_normal,1296,0.3689044802539351,-4.330860703417892,-5.675526970512193,-4.254401799576434
Linear,csi_32,near_normal,1296,202.16343154838592,23.057026007454557,7.640503293776588,23.1160359242078
W,csi_32,near_occlusion,2592,0.7009412050247192,-1.5431840914348194,-4.71295954307595,-2.771738896194043
Hold,csi_32,near_occlusion,2592,2.4092414749466395,3.8188033091620066,-6.094143375536595,-2.212171256445246
Linear,csi_32,near_occlusion,2592,1176.260147667436,30.70503383136237,3.4014825455199778,20.025330207692043
W,csi_32,los,8656,0.25144514441490173,-5.995567464983145,-8.391812738865323,-0.39043960459431154
Hold,csi_32,los,8656,0.2635716360333863,-5.791013276780742,-12.064893200655394,-0.4098498756205199
Linear,csi_32,los,8656,100.43288018312386,20.01875917434152,-0.7738676347776197,11.386661067472112
W,csi_32,nlos,1700,33.445152282714844,15.243331777260025,0.13902657900074172,0.10491147544776702
Hold,csi_32,nlos,1700,180.29732653633275,22.559892870156553,3.0091844243184434,0.9725592369970194
Linear,csi_32,nlos,1700,203950.1996285145,53.095241347451456,18.21161006840353,24.000930528799678
W,csi_32,switch_window,1616,33.86678695678711,15.297739957846186,-0.3679853998248972,-0.05045219753622997
