model,group,query_s,n,nmse,nmse_db,median_db,energy_weighted_db
W,far,0.30000001192092896,646,20.37818717956543,13.091655470438647,-7.799212461190182,-0.09966120369954659
W,far,0.4000000059604645,644,23.047649383544922,13.626266385407565,-7.170218555691424,-0.08221760077817288
W,far,0.5,642,16.344970703125,12.133841464836834,-5.733122430584184,-0.06440237682334173
W,normal,0.009999999776482582,324,0.2094990462064743,-6.788179499206358,-12.831903887782039,-6.57845471149767
W,normal,0.019999999552965164,324,0.22201287746429443,-6.5362183433546015,-12.95363947487094,-6.44642278644853
W,normal,0.05000000074505806,324,0.12080269306898117,-9.179233838277929,-12.709831815969043,-9.034783465627251
W,normal,0.10000000149011612,324,0.17065994441509247,-7.6786840015552205,-10.146384898864557,-7.582618616176995
W,normal,0.20000000298023224,324,0.2308003455400467,-6.3676354531689885,-8.41942602805019,-6.272959820072479
W,normal,0.30000001192092896,324,0.25271016359329224,-5.973772911084979,-7.69811229802401,-5.871339118159331
W,normal,0.4000000059604645,324,0.2757055461406708,-5.595544974630964,-6.962460033792281,-5.504008596939291
W,normal,0.5,324,0.3550204634666443,-4.497466133829061,-5.687543993089768,-4.427077174215154
W,maneuver,0.009999999776482582,324,0.025261467322707176,-15.975414268746281,-22.00582832476441,-15.944227039643593
W,maneuver,0.019999999552965164,324,0.05147328972816467,-12.88418074510031,-19.777130969262473,-12.751097785152057
W,maneuver,0.05000000074505806,324,0.05957363173365593,-12.249459235907718,-14.42755589760951,-12.167312803389889
W,maneuver,0.10000000149011612,324,0.09713340550661087,-10.126313845906548,-11.449900211968643,-10.076313725600352
W,maneuver,0.20000000298023224,324,0.1327446699142456,-8.769829080868256,-9.786809034298017,-8.69921409799427
W,maneuver,0.30000001192092896,324,0.1608225554227829,-7.9365304135439265,-8.672345762868357,-7.858339259897495
W,maneuver,0.4000000059604645,324,0.20363692939281464,-6.911434602391524,-7.619173689668349,-6.8248063305106825
W,maneuver,0.5,324,0.27582722902297974,-5.593628635020117,-6.212603680575556,-5.5091266911512875
W,occlusion,0.009999999776482582,648,0.501916766166687,-2.9936829678246255,-12.030561825518078,-3.367601611752851
W,occlusion,0.019999999552965164,648,1.4988422393798828,1.7575592359384187,-7.7148024066076735,-1.3025924918584768
W,occlusion,0.05000000074505806,648,6.069477081298828,7.831512758381725,-4.555686390822917,-0.5028779594851711
W,occlusion,0.10000000149011612,648,7.9702301025390625,9.0147085976756,-3.031159182329179,-0.23181416745174382
W,occlusion,0.20000000298023224,648,12.283225059509277,10.89312409285592,-2.013148219882323,-0.11287651573760533
W,occlusion,0.30000001192092896,646,20.730209350585938,13.16603687976406,-1.4290782491115945,-0.07479593453232174
W,occlusion,0.4000000059604645,644,23.510448455810547,13.712609132604719,-1.1734791038333299,-0.060255898086852965
W,occlusion,0.5,642,16.847747802734375,12.265418528501613,-0.8021082181607392,-0.044400862307660556
W,far_maneuver,0.009999999776482582,162,0.02024763822555542,-16.93625627532171,-23.98618254503004,-17.016574693663877
W,far_maneuver,0.019999999552965164,162,0.016916939988732338,-17.71678191308443,-20.736135143126518,-17.725268833605437
W,far_maneuver,0.05000000074505806,162,0.037144795060157776,-14.301020334517274,-16.02104866972468,-14.344555408783304
W,far_maneuver,0.10000000149011612,162,0.06791964918375015,-11.680045659613203,-12.180102999026749,-11.701579716488077
