model,group,n,nmse,nmse_db,median_db,energy_weighted_db
WM phase aligned,near_maneuver,1296,0.09888675063848495,-10.048618935399418,-12.506660540577947,-9.771148931778391
WM,near_normal,1296,0.2434128373861313,-6.136565211801507,-6.754771019205883,-6.0058477330107705
WM amplitude,near_normal,1296,0.11097051203250885,-9.54792410068574,-9.872926010166955,-9.407600910205822
WM phase aligned,near_normal,1296,0.23521560430526733,-6.285338703557778,-6.902061808508144,-6.159694457274671
WM,near_occlusion,2592,0.6511249542236328,-1.863356600916701,-5.602837420050615,-3.3395551782700923
WM amplitude,near_occlusion,2592,0.36900120973587036,-4.329722100448642,-8.396028812402553,-4.526138127204206
WM phase aligned,near_occlusion,2592,0.46258869767189026,-3.348049824575197,-6.463146836084649,-3.961414211387564
WM,los,8656,0.22155217826366425,-6.545239757012521,-11.977579108997954,-0.40891296861461224
WM amplitude,los,8656,0.14740748703479767,-8.31480457485645,-15.404463521542183,-0.47460884826057453
WM phase aligned,los,8656,0.20550702512264252,-6.871733274626078,-12.14009112538003,-0.42977950507249607
WM,nlos,1700,3.9689278602600098,5.986732051868988,0.07000055274173343,0.07075853560535611
WM amplitude,nlos,1700,2.8731141090393066,4.583528748405335,-1.4580799597262086,-0.5405617475354213
WM phase aligned,nlos,1700,3.331840991973877,5.226842670576458,-0.6386796233569946,-0.4340000561117097
WM,switch_window,1616,3.021280527114868,4.801910515631812,-0.3889688616218995,-0.062246186489691775
WM amplitude,switch_window,1616,2.216212511062622,3.4561140224627156,-2.779374175673055,-0.10120990184882746
WM phase aligned,switch_window,1616,2.594855546951294,4.141131861119845,-1.3441647553608018,-0.08326292956894894
WI,all,10356,5.5230183601379395,7.42176486948707,-7.262825191022687,-0.3507728303157776
WI amplitude,all,10356,5.05438232421875,7.036680897838336,-8.60717790305507,-0.45094321188900466
WI phase aligned,all,10356,5.341848850250244,7.276915953231384,-7.646912483836058,-0.4008447284772819
WI,near,5184,0.4412837028503418,-3.552821112857803,-6.759666705640438,-4.018217497036552
WI amplitude,near,5184,0.2612294852733612,-5.829778053111406,-8.330399772809846,-5.149033818169558
WI phase aligned,near,5184,0.3409099280834198,-4.673603509299208,-7.0159628846636775,-4.412517937083565
WI,far,5172,10.616544723510742,10.259831936116248,-7.721155935762457,-0.17551574830423933
WI amplitude,far,5172,9.858656883239746,9.938177518651573,-8.902998240190582,-0.24842069745250922
WI phase aligned,far,5172,10.354390144348145,10.151245247896824,-8.289687661485916,-0.21573307224688548
WI,normal,2592,0.22672206163406372,-6.445062179424744,-7.938000627856308,-6.3540590122464105
WI amplitude,normal,2592,0.1583479344844818,-8.003875972610771,-8.77053749687692,-7.943183952710072
WI phase aligned,normal,2592,0.22138799726963043,-6.548459284476783,-7.972569952741166,-6.462560720709742
WI,maneuver,2592,0.1245092898607254,-9.047982438715781,-9.762260337076556,-8.962911567928682
WI amplitude,maneuver,2592,0.09541764855384827,-10.203712902783654,-10.513155877388616,-10.168417270427383
WI phase aligned,maneuver,2592,0.12375367432832718,-9.07441897712958,-9.809033590575263,-8.989906270038388
WI,occlusion,5172,10.882828712463379,10.367417937575752,-3.008465546676558,-0.13703907766107778
WI amplitude,occlusion,5172,9.993314743041992,9.99709565887149,-6.276258999623229,-0.22393992873951102
WI phase aligned,occlusion,5172,10.52311897277832,10.221444804933304,-4.778006972189007,-0.1867837304312153
WI,far_maneuver,1296,0.1003660261631012,-9.984132707251865,-10.37193041437866,-9.974900442492629
WI amplitude,far_maneuver,1296,0.09241402894258499,-10.342620955561205,-10.703797768370382,-10.323679010813812
WI phase aligned,far_maneuver,1296,0.10012908279895782,-9.994397620347225,-10.37653447741354,-9.984726921066978
WI,far_normal,1296,0.15145596861839294,-8.197136071977077,-9.071028032787726,-8.094979020476798
WI amplitude,far_normal,1296,0.1157458946108818,-9.364944040202417,-10.052738264298675,-9.304259612294715
WI phase aligned,far_normal,1296,0.14912287890911102,-8.264557205864465,-9.140219645923104,-8.168148566747911
WI,far_occlusion,2580,21.15597152709961,13.254329738493176,-0.781692802366458,-0.053992221980433935
WI amplitude,far_occlusion,2580,19.65860366821289,12.935526670705713,-4.713346507550166,-0.12393525975726441
WI phase aligned,far_occlusion,2580,20.631736755371094,13.145357879114304,-3.0194644508691546,-0.09417897102248274
