group,model,case,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,WM,pattern_gap,2592,0.14291633854428942,-8.44918118766688,-12.387469025668318,-3.9529131268937783,-8.352806022121216,0.9291856675684573,0.9261462169799763,0,-11.828344674720032,-8.628448024098246,0.06677113465532168
near_los,WM,pattern_recent,2592,0.14618260898110425,-8.351042913507614,-12.172851838749256,-3.901011081054792,-8.29743832283335,0.9268022166441084,0.9238975833181184,0,-11.756945857218291,-8.51474525109287,0.06514468712017554
near_los,WM,pattern_uniform,2592,0.14051352259319783,-8.52281878570231,-12.663267225672817,-4.0481412411528375,-8.41996708092201,0.9301296902361678,0.9272239408619175,0,-11.892989638113402,-8.696836157187597,0.06807363573090869
near_los,WM,rgb_10,2592,0.14258731774115543,-8.459191005709059,-12.552605011412151,-3.8521003534672364,-8.362520356089558,0.9291577116504589,0.9260403222860738,0,-11.847761217843953,-8.642222402821979,0.06704814983831614
near_los,WM,rgb_2,2592,0.14258731774115543,-8.459191005709059,-12.552605011412151,-3.8521003534672364,-8.362520356089558,0.9291577116504589,0.9260403222860738,0,-11.847761217843953,-8.642222402821979,0.06704814983831614
near_los,WM,wrong_uniform_clocks,2592,0.14417514408230458,-8.411096059020238,-12.458517533646344,-3.889174038522438,-8.309726759330845,0.9283160623359606,0.9252223538678488,0,-11.829086145097346,-8.590621575459897,0.06625479028244442
near_los,WI,all_dense,2592,0.13712409564922456,-8.628862236348922,-12.620470491549584,-4.17073515136941,-8.527672520185366,0.9319015702894532,0.9291580323925643,0,-11.9370014765569,-8.797846515553566,0.06962285301472401
near_los,WI,all_sparse,2592,0.1860612607439505,-7.303440406063451,-11.894084022661644,-2.2538622348888913,-7.232711763736452,0.9062377484051951,0.9011985961113055,0,-11.316128379744583,-7.523454500837442,0.056929678962967564
near_los,WI,csi_32,2592,0.13712485299835803,-8.628838249927012,-12.62614266993274,-4.169827879482849,-8.527628257200622,0.9319019442389429,0.9291589958526204,0,-11.936584503805092,-8.797785182297392,0.06962139839296673
near_los,WI,csi_4,2592,0.1859504822628205,-7.306026909602376,-11.902027814472888,-2.2379166439737244,-7.235324535625604,0.9063050363231144,0.9012704013222972,0,-11.316942472106351,-7.52602526897806,0.05694666411797347
near_los,WI,csi_8,2592,0.15631418728455326,-8.060016030443123,-12.370297344231503,-3.398962885331726,-7.978585749339087,0.9222126508077445,0.9184926086550389,0,-11.64221310274674,-8.257610991384611,0.062074391944294365
near_los,WI,default,2592,0.14226832454255747,-8.468917830336135,-12.583460411499725,-3.9539592045094416,-8.371965534687961,0.9293046843860304,0.9262349408921967,0,-11.855742695916046,-8.649551107330694,0.06732208147081832
near_los,WI,mismatched_motion,2592,0.14226832454255747,-8.468917830336135,-12.583460411499725,-3.9539592045094416,-8.371965534687961,0.9293046843860304,0.9262349408921967,0,-11.855742695916046,-8.649551107330694,0.06732208147081832
near_los,WI,mismatched_rgb,2592,0.14228337296959903,-8.4684584797936,-12.581562548077576,-3.948130674807038,-8.37152472351756,0.929297111452423,0.9262273582474181,0,-11.855349325027657,-8.649073142250613,0.06731557805291258
near_los,WI,motion_16,2592,0.14226832454255747,-8.468917830336135,-12.583460411499725,-3.9539592045094416,-8.371965534687961,0.9293046843860304,0.9262349408921967,0,-11.855742695916046,-8.649551107330694,0.06732208147081832
near_los,WI,motion_2,2592,0.14226832454255747,-8.468917830336135,-12.583460411499725,-3.9539592045094416,-8.371965534687961,0.9293046843860304,0.9262349408921967,0,-11.855742695916046,-8.649551107330694,0.06732208147081832
near_los,WI,offgrid_queries,2592,0.14645848290392088,-8.342854688327067,-12.162304528708487,-3.876111521501927,-8.223885590040748,0.9264247157090387,0.9238627085101803,0,-11.803984155265132,-8.48666643230368,0.06321033210902553
near_los,WI,pattern_bursty,2592,0.14718320727673173,-8.321417375737836,-12.256199609463664,-3.8527072070959956,-8.23768142496858,0.9266256724507795,0.9235423733287467,0,-11.790239655517983,-8.496412818866384,0.06481456013892216
near_los,WI,pattern_gap,2592,0.14250127732150103,-8.461812428049916,-12.350188016410327,-3.9826535608306606,-8.365988370414506,0.929337971820326,0.9263473622997395,0,-11.843377253538323,-8.638740061481831,0.06709729812864325
near_los,WI,pattern_recent,2592,0.14625988281618998,-8.348747788695345,-12.164402927651771,-3.986665181335108,-8.293673323876584,0.9267831943165722,0.9238845838821479,0,-11.741780829369361,-8.511911177090772,0.06534354626527823
near_los,WI,pattern_uniform,2592,0.14054937976585533,-8.521710665621319,-12.528405851976805,-4.087275911095335,-8.42043892685103,0.9301417980358464,0.9272665952510324,0,-11.895853581540967,-8.694272662294441,0.06818581560951632
near_los,WI,rgb_10,2592,0.14226740546677302,-8.468945886534323,-12.584440421769918,-3.9475831606618517,-8.372035819514718,0.9293015355488109,0.9262323045917366,0,-11.856509201823764,-8.64955347832034,0.06732517937351397
near_los,WI,rgb_2,2592,0.14229819824878193,-8.468005988304425,-12.571499240065705,-3.9412733729496425,-8.37093319054121,0.929295312513849,0.9262218693694303,0,-11.855365694101927,-8.648780604259104,0.06731257922702051
near_los,WI,wrong_uniform_clocks,2592,0.143712725187953,-8.425047751209718,-12.431283661990662,-3.9381593672065405,-8.323984092127345,0.9285381929877823,0.9254948914034209,0,-11.842337095289665,-8.602314228511739,0.0665858195055031
near_los,WMI,all_dense,2592,0.13755105197852477,-8.615360838150368,-12.679728152779466,-4.061073693865017,-8.515171418263753,0.9316563803618875,0.928877329572226,0,-11.940391307675446,-8.785824593628927,0.06913646788394281
near_los,WMI,all_sparse,2592,0.18651618466159492,-7.292834769692249,-11.899105372053304,-2.233915939394167,-7.224748968733935,0.9063333584082289,0.90128873106712,0,-11.292596733497307,-7.513615544767802,0.057215999039212685
near_los,WMI,csi_32,2592,0.13756777655340596,-8.6148328197206,-12.664976013973913,-4.045586673658364,-8.51466388412223,0.9316494255293175,0.928870465497591,0,-11.939045474776918,-8.78527023721698,0.06913231014989175
near_los,WMI,csi_4,2592,0.18639317185538687,-7.295700012086614,-11.915633092168163,-2.2485663192716525,-7.227742150408012,0.9064096546937339,0.9013665835372826,0,-11.293149731258934,-7.516675837724885,0.057183405442459416
near_los,WMI,csi_8,2592,0.15723200379705718,-8.034590508041035,-12.397362232681953,-3.3229458542209915,-7.955396790634557,0.9219359755479318,0.9181507279869395,0,-11.62078834755575,-8.23536470487231,0.06283719251989331
near_los,WMI,default,2592,0.14274637313855068,-8.454349173793059,-12.559583099154004,-3.866301437356407,-8.35850252230464,0.9290728826657085,0.9259564591966304,0,-11.850844718689446,-8.637203968008784,0.06684217095712375
near_los,WMI,mismatched_motion,2592,0.14306152511647763,-8.444771494429936,-12.605163606533534,-3.827693583166486,-8.35004156606679,0.9290248765427045,0.9258696094992181,0,-11.862656558381667,-8.630185904564327,0.06674202301648101
near_los,WMI,mismatched_rgb,2592,0.1427507015639966,-8.454217486889533,-12.558368045277359,-3.871843798673959,-8.358361947687381,0.9290709872215762,0.9259538959028452,0,-11.850746111848338,-8.637105143158358,0.06683843500752733
near_los,WMI,motion_16,2592,0.14274616765447595,-8.454355425487027,-12.56625270911989,-3.8565157066308577,-8.358496313865881,0.9290706566380365,0.9259548760061688,0,-11.851113297419296,-8.637160465883673,0.06683999496882449
near_los,WMI,motion_2,2592,0.14276967546016,-8.4536402770594,-12.564675009616785,-3.8603364942901255,-8.357779298894185,0.9290642335340039,0.9259470585980395,0,-11.850000934548842,-8.636521696810862,0.06683745304160148
