group,model,query_ms,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,WMI,20.0,324,0.23374038210042916,-6.31266250344844,-9.615730696937316,-1.5733364654446276,-6.287174209946223,0.8873992047329099,0.8815508103402588,0,-9.542029315972067,-6.528693011793761,0.044924401187039234
near_los,WMI,50.0,324,0.10116674997370484,-9.949622016829618,-15.12846905417952,-5.163634360721433,-9.878063795392407,0.9505339281273008,0.9478222541300475,0,-13.15367489960698,-10.177023387302043,0.08812500853994253
near_los,WMI,100.0,324,0.1094676416065049,-9.607142383449776,-13.599762603306036,-4.4949859579646345,-9.533674944815113,0.94456397806218,0.9425307763010898,0,-12.822602564117954,-9.75849218040601,0.0591507093607496
near_los,WMI,200.0,324,0.11548966992111107,-9.374568599007853,-12.746214085416876,-4.855025243068422,-9.283900698876046,0.9409295490052239,0.9393805653667644,0,-12.89331611354924,-9.483160590079878,0.05898098780713935
near_los,WMI,300.0,324,0.12395646372677545,-9.067308219604604,-12.15905272605291,-4.3792390356448525,-8.954376234539454,0.9363406362452504,0.9348181750330482,0,-12.657125386021658,-9.163982269153587,0.06888732204789974
near_los,WMI,400.0,324,0.1359857349061329,-8.665066473392255,-11.649699742630515,-4.3061150884067,-8.56560156100796,0.9297274235008177,0.9281139716641489,0,-12.19177952600251,-8.754921160090582,0.06180011265232439
near_los,WMI,500.0,324,0.13819608240900083,-8.59504268193865,-11.025040256573488,-4.640307869879162,-8.463025521131943,0.9290520466169089,0.9269897210871362,0,-12.3691282647913,-8.705531384139697,0.06670065988252899
far_los,W,10.0,324,0.05343076701021597,-12.722085913811325,-22.09532642640881,-9.640193084715168,-12.513374887105755,0.9744740034733361,0.9733788677425246,0,-15.888258932011333,-12.901500255347145,0.16166790277902793
far_los,W,20.0,324,0.04575025354745618,-13.396064947351068,-20.974695396026405,-10.067071435823403,-13.200996503513196,0.97806202504384,0.9772479572232148,0,-16.69725942508353,-13.548461958757779,0.196919750107493
far_los,W,50.0,324,0.03592683401664759,-14.445810524775444,-21.708424962487392,-10.164399882539119,-14.187143533544504,0.9820991285683598,0.981712436220765,0,-17.710822604041045,-14.534589015962169,0.18416906039653486
far_los,W,100.0,324,0.03278851183552493,-14.842782941048414,-19.376604697962453,-11.306361119517733,-14.626688495695902,0.9841464235489298,0.9836141980469902,0,-18.08836970385886,-14.975412105834724,0.14921858472244023
far_los,W,200.0,324,0.0385426989099671,-14.14057877623829,-18.33829970122159,-10.624759697250596,-13.954290314934587,0.9807484769615213,0.9803473236920609,0,-17.89681973698089,-14.224094799037365,0.13220257332409774
far_los,W,300.0,324,0.038290174297673556,-14.169126567302557,-18.039342102364827,-10.121837034983368,-14.059578592569862,0.9810900277099307,0.9806819513984548,0,-18.297669261433775,-14.256337072680925,0.10373668039584183
far_los,W,400.0,324,0.036372981989681044,-14.39221092440609,-17.87322331935904,-10.463041336392848,-14.32078165086435,0.9823333747428458,0.981972449976738,0,-18.321557678644183,-14.474169358255457,0.08668988304319346
far_los,W,500.0,324,0.042800793113306125,-13.685481832872714,-16.961243315484168,-9.849568302884304,-13.690519880856941,0.9793911516892682,0.9789977959987168,0,-17.504677002138045,-13.760245512061378,0.0744972304628643
far_los,WM,10.0,324,0.05348506192899071,-12.717674970009975,-22.071890138615835,-9.610714610245198,-12.509289791352789,0.9744358192529647,0.9733281306428265,0,-15.883805301208785,-12.898972336086414,0.1594000346718333
far_los,WM,20.0,324,0.04629190029151224,-13.34494990978294,-20.904703746314127,-10.10948152506649,-13.151348522995008,0.9778019582806462,0.9769797577846925,0,-16.65090775609133,-13.49703041425066,0.19825201942804666
