time_s,mean_abs_H_squared_db,los,path_count
1.102,-87.99738553829427,0,92
1.104,-88.06854638965454,0,92
1.106,-88.12364883457863,0,92
1.108,-88.13082343659232,0,92
1.11,-88.10052149046784,0,92
1.112,-87.35046170383976,0,95
1.114,-87.34300375405907,0,95
1.116,-87.36807187497817,0,95
1.118,-87.38624288648785,0,95
1.12,-87.3856300548465,0,95
1.122,-87.3718593980277,0,95
1.124,-87.35991688993543,0,95
1.126,-87.33829870754482,0,95
1.128,-87.2850566023377,0,95
1.13,-87.1996149057155,0,95
1.132,-87.12197195512145,0,95
1.134,-87.09279397235159,0,95
1.136,-87.12626752762704,0,95
1.138,-87.93790508023312,0,94
1.14,-87.97658605354869,0,93
1.142,-88.0021753494614,0,93
1.144,-88.02920007712864,0,93
1.146,-88.07114842955022,0,93
1.148,-88.10197222444953,0,93
1.15,-88.0706687224797,0,94
1.152,-88.00446086979085,0,92
1.154,-87.92853103541705,0,92
1.156,-87.88130411610928,0,92
1.158,-87.86546452430734,0,93
1.16,-87.83438966178622,0,91
1.162,-87.80887292447913,0,91
1.164,-87.78693917857213,0,91
1.166,-87.80107795084794,0,91
1.168,-87.85701127338692,0,92
1.17,-87.90162745432228,0,93
1.172,-87.93049609297773,0,93
1.174,-87.93649085977447,0,93
1.176,-87.95539987005134,0,92
1.178,-87.98040288805657,0,92
1.18,-88.00468683635101,0,92
1.182,-87.99411920697165,0,92
1.184,-87.94274071170493,0,92
1.186,-87.89662659831723,0,92
1.188,-87.87228391932285,0,91
1.19,-87.20524310292197,0,92
1.192,-87.21165487528317,0,92
1.194,-87.15880003678194,0,92
1.196,-87.06780081919375,0,93
1.198,-86.99228152880706,0,94
1.2,-86.9359267362478,0,94
1.202,-86.89365560635154,0,93
1.204,-86.87633604334727,0,93
1.206,-86.88224697402612,0,93
1.208,-86.93317360598661,0,93
1.21,-87.02514209419853,0,92
1.212,-87.13837162569264,0,92
1.214,-87.87550565485012,0,91
1.216,-87.865916769669,0,91
1.218,-87.83924213568305,0,91
1.22,-87.82007557276214,0,91
1.222,-87.80644667858513,0,91
1.224,-87.7716416174085,0,92
1.226,-87.70951536607117,0,92
1.228,-86.80835667876974,0,92
1.23,-86.80581994755343,0,92
1.232,-86.86724544839011,0,92
1.234,-86.95613297570924,0,92
1.236,-87.02386904106322,0,92
1.238,-87.05487044716536,0,91
1.24,-87.06374390695632,0,91
1.242,-87.05633118073861,0,91
1.244,-87.01955033054638,0,92
1.246,-87.7275935578522,0,91
1.248,-87.67366799317814,0,91
1.25,-87.61967181151184,0,91
1.252,-87.59367979114427,0,91
1.254,-87.61470928000229,0,90
1.256,-87.60832133095705,0,91
1.258,-87.58646439915861,0,91
1.26,-87.57265995966932,0,91
1.262,-87.59210319972156,0,90
1.264,-87.6651014577088,0,91
1.266,-87.71413015136184,0,91
1.268,-87.72335435122953,0,90
1.27,-87.73590526711315,0,90
1.272,-87.76173558747446,0,90
1.274,-87.80723935107093,0,90
1.276,-87.8431728862819,0,91
1.278,-87.83650495982383,0,91
1.28,-87.80123534050827,0,89
1.282,-87.76704694601571,0,90
1.284,-87.76029097568312,0,90
1.286,-87.7605154778411,0,90
1.288,-87.72908229345545,0,90
1.29,-87.66351146158021,0,90
1.292,-87.59751369810388,0,90
1.294,-87.56506502228913,0,90
1.296,-87.56201148368851,0,90
1.298,-87.55842328264046,0,90
1.3,-87.53784244499569,0,90
1.302,-87.51575203520112,0,90
1.304,-87.52107188120482,0,90
1.306,-87.54802901022222,0,90
1.308,-87.56594813888066,0,90
1.31,-87.5519633836778,0,90
1.312,-87.52087637197617,0,90
1.314,-87.50857396580655,0,90
1.316,-86.6637503190684,0,91
1.318,-86.630801655557,0,91
1.32,-86.60805293106812,0,91
1.322,-86.60258342984903,0,91
1.324,-86.63906032459253,0,91
1.326,-86.71673466615468,0,91
1.328,-86.80300834238862,0,91
1.33,-86.84435152775096,0,91
1.332,-86.82258652985736,0,91
1.334,-86.75581701299542,0,91
1.336,-86.68055808963766,0,91
1.338,-86.61001891236359,0,91
1.34,-86.53877095150294,0,91
1.342,-86.47577187759347,0,92
1.344,-86.44939594598748,0,91
1.346,-86.47931417681205,0,91
1.348,-86.55322191045619,0,91
1.35,-86.6301284343556,0,91
1.352,-86.6671498003387,0,91
1.354,-86.65978185675486,0,91
1.356,-86.62677250315542,0,91
1.358,-86.57742814676055,0,91
1.36,-86.50420480535291,0,91
1.362,-86.40359622391722,0,91
1.364,-86.31007026296737,0,90
1.366,-86.26146607192308,0,90
1.368,-86.28287065523084,0,90
1.37,-86.35050425237723,0,90
1.372,-86.42790304680787,0,90
1.374,-86.48695237361962,0,90
1.376,-86.53034025718898,0,90
1.378,-86.56012147034944,0,91
1.38,-86.56161764697033,0,91
1.382,-86.50959867388036,0,91
1.384,-86.41571526062228,0,91
1.386,-86.31608920602358,0,91
1.388,-86.25430295228385,0,90
1.39,-86.23573100229643,0,90
1.392,-86.23922844777816,0,90
1.394,-86.24832248269735,0,90
1.396,-86.26295134748412,0,90
1.398,-86.29203186403441,0,90
1.4,-86.31908935455053,0,90
1.402,-87.01921906695107,0,89
1.404,-87.00253165110425,0,89
1.406,-86.97582881125581,0,89
1.408,-86.97488387112298,0,88
1.41,-86.09995076745754,0,89
1.412,-86.12713954106282,0,90
1.414,-86.17692987556283,0,89
1.416,-86.24169066506417,0,89
1.418,-86.32746787536186,0,89
1.42,-86.42695180693543,0,89
1.422,-86.50314075561269,0,89
1.424,-86.51105340432908,0,90
1.426,-86.4469314696957,0,90
1.428,-86.34629334489401,0,90
1.43,-86.24588705314231,0,90
1.432,-87.10741667840217,0,88
1.434,-87.05480434051495,0,88
1.436,-86.98524143578663,0,88
1.438,-86.93041902261413,0,88
1.44,-86.91492295311062,0,88
1.442,-86.92838045582094,0,88
1.444,-86.94219134082196,0,88
1.446,-86.9343914135319,0,88
1.448,-86.1894983498175,0,89
1.45,-86.16369449179489,0,89
1.452,-86.14972063334768,0,89
1.454,-86.13719407778294,0,89
1.456,-86.12535477243227,0,88
1.458,-86.12987118225051,0,88
1.46,-86.1789721924503,0,88
1.462,-86.27545079164017,0,89
1.464,-86.37593399459354,0,89
1.466,-86.43977513676369,0,89
1.468,-86.4547747889633,0,89
1.47,-86.43782333632949,0,89
1.472,-86.39888812464413,0,88
1.474,-86.3311576627652,0,88
1.476,-86.23608327445821,0,88
1.478,-86.14283927584795,0,88
