route,time_s,mean_abs_H_squared_db,los
site_00_route_00,0.744,-71.26912764823986,0
site_00_route_00,0.746,-71.27819908108194,0
site_00_route_00,0.748,-71.28975538340462,0
site_00_route_00,0.75,-71.29816861845073,0
site_00_route_00,0.752,-71.30173172679824,0
site_00_route_00,0.754,-71.29853693317548,0
site_00_route_00,0.756,-71.29061073361595,0
site_00_route_00,0.758,-71.25637266868608,0
site_00_route_00,0.76,-71.24042637322847,0
site_00_route_00,0.762,-71.22837465560312,0
site_00_route_00,0.764,-71.2235231773027,0
site_00_route_00,0.766,-71.22437718362495,0
site_00_route_00,0.768,-69.31696814774257,0
site_00_route_00,0.77,-69.32819909295434,0
site_00_route_00,0.772,-69.34065070530475,0
site_00_route_00,0.774,-69.35190883844774,0
site_00_route_00,0.776,-69.35919828702714,0
site_00_route_00,0.778,-69.36014975751365,0
site_00_route_00,0.78,-71.28136217586302,0
site_00_route_00,0.782,-69.34439217755956,0
site_00_route_00,0.784,-69.3295960152505,0
site_00_route_00,0.786,-69.31314595207412,0
site_00_route_00,0.788,-69.30007389384922,0
site_00_route_00,0.79,-69.28967867640571,0
site_00_route_00,0.792,-69.28639784739126,0
site_00_route_00,0.794,-71.20250452416134,0
site_00_route_00,0.796,-71.21462986157033,0
site_00_route_00,0.798,-71.231440113276,0
site_00_route_00,0.8,-71.24909089360861,0
site_00_route_00,0.802,-71.26593730521394,0
site_00_route_00,0.804,-71.27362681611427,0
site_00_route_00,0.806,-71.27168254232222,0
site_00_route_00,0.808,-71.26083792797252,0
site_00_route_00,0.81,-71.24225901753819,0
site_00_route_00,0.812,-71.21930937763796,0
site_00_route_00,0.814,-71.1963283533304,0
site_00_route_00,0.816,-71.17755114983905,0
site_00_route_00,0.818,-71.1665405959952,0
site_00_route_00,0.82,-71.16521415879734,0
site_00_route_00,0.822,-71.17401829994759,0
site_00_route_00,0.824,-71.18994100037287,0
site_00_route_00,0.826,-71.20961742717492,0
site_00_route_00,0.828,-71.22996249725567,0
site_00_route_00,0.83,-71.24381671734368,0
site_00_route_00,0.832,-69.32112100997264,0
site_00_route_00,0.834,-69.3180983500402,0
site_00_route_00,0.836,-69.30694290197644,0
site_00_route_00,0.838,-69.29017577665269,0
site_00_route_00,0.84,-69.27171847952559,0
site_00_route_00,0.842,-69.25544287628325,0
site_00_route_00,0.844,-69.24479417608354,0
site_00_route_00,0.846,-69.26915273218694,0
site_00_route_00,0.848,-69.27369465487655,0
site_00_route_00,0.85,-69.2818791148852,0
site_00_route_00,0.852,-71.21683196215562,0
site_00_route_00,0.854,-71.22994673373192,0
site_00_route_00,0.856,-71.24556190923533,0
site_00_route_00,0.858,-71.25621186288542,0
site_00_route_00,0.86,-71.25599487580497,0
site_00_route_00,0.862,-71.24544312372765,0
