sample_id,traj_id,query_s,difference_over_target_energy,difference_over_refined_prediction_energy,coarse_full_csi_nmse,refined_full_csi_nmse
uturn_007:1:3745,uturn_007,0.20000000298023224,6.4561291448685e-14,1.089566637808304e-12,0.8933207988739014,0.8933207392692566
uturn_007:1:3745,uturn_007,0.5,7.013272970288048e-14,9.59646392300121e-13,0.8739417791366577,0.8739417791366577
uturn_015:1:2980,uturn_015,0.009999999776482582,1.5117964710958057e-13,2.4231976165925576e-13,0.11926288902759552,0.11926285177469254
uturn_015:1:2980,uturn_015,0.019999999552965164,1.5801580247978165e-13,2.546219436651446e-13,0.1229245662689209,0.12292461842298508
uturn_015:1:2980,uturn_015,0.05000000074505806,1.5350275671918882e-13,2.3891156335601943e-13,0.1119508445262909,0.1119508296251297
uturn_015:1:2980,uturn_015,0.10000000149011612,1.5816040128921352e-13,2.3920197451112794e-13,0.10504547506570816,0.10504546016454697
uturn_015:1:2980,uturn_015,0.20000000298023224,1.4290874671718806e-13,2.0612521645372793e-13,0.10232812166213989,0.10232812166213989
uturn_015:1:2980,uturn_015,0.5,1.8277556962315414e-13,2.1881801794686757e-13,0.1146806851029396,0.11468067020177841
uturn_016:1:2593,uturn_016,0.009999999776482582,8.60723863263477e-14,1.9941203910758568e-13,0.45813214778900146,0.4581321179866791
uturn_016:1:2593,uturn_016,0.019999999552965164,8.912743727302576e-14,2.0619122023861175e-13,0.45732682943344116,0.4573267996311188
uturn_016:1:2593,uturn_016,0.05000000074505806,9.233099241196323e-14,2.1249753710354064e-13,0.45416098833084106,0.45416098833084106
uturn_016:1:2593,uturn_016,0.10000000149011612,9.187071550992555e-14,2.0970243267042693e-13,0.4482613205909729,0.4482613205909729
uturn_016:1:2593,uturn_016,0.20000000298023224,1.0438201194275795e-13,2.3470298614412335e-13,0.44050121307373047,0.44050124287605286
uturn_016:1:2593,uturn_016,0.5,8.2007423354969e-14,1.7825260753763672e-13,0.42231330275535583,0.42231330275535583
climb_descent_001:1:2806,climb_descent_001,0.009999999776482582,1.4631359384735772e-13,2.2584354806437634e-13,0.16353817284107208,0.16353817284107208
climb_descent_001:1:2806,climb_descent_001,0.019999999552965164,1.2891747218531897e-13,1.9700372118927159e-13,0.16461646556854248,0.1646164506673813
climb_descent_001:1:2806,climb_descent_001,0.05000000074505806,1.4933271265612843e-13,2.2166682714586485e-13,0.16071318089962006,0.16071318089962006
climb_descent_001:1:2806,climb_descent_001,0.10000000149011612,1.4446221746630123e-13,2.0751546337283879e-13,0.1935114562511444,0.1935114860534668
climb_descent_001:1:2806,climb_descent_001,0.20000000298023224,2.422053891565425e-13,3.196512584933176e-13,0.2400127798318863,0.24001285433769226
climb_descent_001:1:2806,climb_descent_001,0.5,2.366140199800846e-13,2.4066240922111597e-13,0.49781811237335205,0.4978182017803192
climb_descent_008:1:1780,climb_descent_008,0.009999999776482582,8.072331132817667e-14,4.267912026291804e-13,0.6918827295303345,0.6918827295303345
climb_descent_008:1:1780,climb_descent_008,0.019999999552965164,7.060206442573383e-14,3.761421087059637e-13,0.6944566369056702,0.6944566369056702
climb_descent_008:1:1780,climb_descent_008,0.05000000074505806,6.488383546198616e-14,3.4059439215341427e-13,0.6972569227218628,0.697256863117218
climb_descent_008:1:1780,climb_descent_008,0.10000000149011612,7.577119146736387e-14,3.909292831731114e-13,0.7030888199806213,0.7030888199806213
climb_descent_008:1:1780,climb_descent_008,0.20000000298023224,8.272212929139319e-14,4.109911087845e-13,0.7178454995155334,0.7178454399108887
climb_descent_008:1:1780,climb_descent_008,0.5,7.171137900295643e-14,3.2431152159419493e-13,0.7810869216918945,0.7810869216918945
climb_descent_012:1:2401,climb_descent_012,0.009999999776482582,6.847358436138724e-14,3.3679220155406773e-13,0.7193003296852112,0.7193002700805664
climb_descent_012:1:2401,climb_descent_012,0.019999999552965164,7.10868972885174e-14,3.517079199808598e-13,0.7229947447776794,0.7229947447776794
climb_descent_012:1:2401,climb_descent_012,0.05000000074505806,7.569541534212194e-14,3.8041370991195337e-13,0.7552852630615234,0.7552852630615234
climb_descent_012:1:2401,climb_descent_012,0.10000000149011612,6.781576820657519e-14,3.4763904987591395e-13,0.7893621921539307,0.7893621921539307
climb_descent_012:1:2401,climb_descent_012,0.20000000298023224,5.5823419252277357e-14,2.894205924405774e-13,0.8644257187843323,0.8644256591796875
climb_descent_012:1:2401,climb_descent_012,0.5,7.795964370286321e-14,4.1580572673350927e-13,1.0380581617355347,1.0380581617355347
occlusion_004:1:824,occlusion_004,0.009999999776482582,8.81277893301117e-14,4.263718824839561e-13,0.5749762654304504,0.57497638463974
occlusion_004:1:824,occlusion_004,0.019999999552965164,7.541767413170975e-14,3.5282049449716703e-13,0.574266254901886,0.5742661952972412
occlusion_004:1:824,occlusion_004,0.05000000074505806,8.783709527692493e-14,4.255392853285002e-13,0.5786448121070862,0.578644871711731
occlusion_004:1:824,occlusion_004,0.10000000149011612,6.887016521731418e-14,4.371769890581668e-13,0.6263348460197449,0.6263349056243896
occlusion_004:1:824,occlusion_004,0.20000000298023224,6.067417397401374e-14,4.927787944868936e-13,0.677670419216156,0.677670419216156
occlusion_004:1:824,occlusion_004,0.5,3.761801867329289e-13,3.808455710953597e-13,1.418136477470398,1.4181362390518188
occlusion_018:1:1914,occlusion_018,0.009999999776482582,2.221511653079422e-14,2.426608265010645e-12,1.0077894926071167,1.0077894926071167
occlusion_018:1:1914,occlusion_018,0.019999999552965164,2.1953096317011484e-14,2.3537673920468887e-12,1.0096540451049805,1.0096540451049805
occlusion_018:1:1914,occlusion_018,0.05000000074505806,2.2363784163418995e-14,2.551494782010946e-12,1.0093343257904053,1.0093343257904053
occlusion_018:1:1914,occlusion_018,0.10000000149011612,1.7838135376205394e-14,2.1411167292563655e-12,1.008039951324463,1.008039951324463
occlusion_018:1:1914,occlusion_018,0.20000000298023224,2.3263930267633068e-14,3.0076249452871075e-12,1.0082143545150757,1.0082142353057861
occlusion_018:1:1914,occlusion_018,0.5,2.5584982884588696e-14,3.898638359782276e-12,1.005598545074463,1.005598545074463
occlusion_019:1:3625,occlusion_019,0.009999999776482582,7.085958188116597e-14,4.2057726279378614e-13,0.6104855537414551,0.6104855537414551
occlusion_019:1:3625,occlusion_019,0.019999999552965164,5.998236336235961e-14,3.6670093774405476e-13,0.6147563457489014,0.6147563457489014
