run,traj_id,scenario,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,nmse_contribution,target_energy_min,query_los_fraction,transition_fraction
cru_seed29,uturn_004,uturn,402,-3.941282220717336,-3.589354000003539,-4.371179445200235,-1.667255370015806,-1.1055145502358101,-1.0787607679836129,1.0,0.6108123997402428,2.937977847823901,0.0048086823789807494,0.0048086823789807494,0.01917182953449637,0.00014115095629761045,4.408682434586808e-05,1.0,0.0
cru_seed29,uturn_009,uturn,402,-1.2426889317618723,-0.9490892428601582,-0.45282165133366525,-0.21632782640115447,-0.09114019179135847,-0.05210631251017634,1.0,0.2558071976249565,9.187672851361667,0.003272142501089232,0.003272142501089232,0.013073189058794416,0.0002627502595668624,8.637246355647221e-05,1.0,0.0
cru_seed29,uturn_019,uturn,402,-6.030517110059988,-5.794955025291957,-6.127769743424417,-5.529513210559163,1.0432274639940706,2.0507358358165733,0.9825870646766169,0.7719011501460081,0.995582762516604,0.015991869661796727,0.015991869661796727,0.05865055680088357,8.724897546789328e-05,9.010294161271304e-05,1.0,0.0
cru_seed43,climb_descent_011,climb_descent,396,-4.635110364555307,-3.6209160314187376,-7.019707688981061,-0.15114828241658432,0.25478711036639634,0.35174922612618187,0.946969696969697,0.6660271234518726,2.5830781377929575,0.00796142435694623,0.00796142435694623,0.03152534910013405,0.00016239228511612776,3.011623448401224e-05,0.9722222222222222,0.03282828282828283
cru_seed43,climb_descent_013,climb_descent,396,-6.1641628270596645,-5.831545667474591,-7.342699335175866,-2.83925491713076,-1.9992474362620927,-1.848628636696488,1.0,0.772956765661336,2.377467858736789,0.006821159944494202,0.006821159944494202,0.0266976310080758,0.0001141984335610735,0.0001831340341595,1.0,0.0
cru_seed43,climb_descent_014,climb_descent,396,-5.304707888255978,-5.226169152246207,-7.187387850124303,-1.6496038931721912,-1.3357407370741228,-1.2485104380169407,1.0,0.712752847960501,2.6795944009314883,0.006425760863109314,0.006425760863109314,0.025441643106385976,0.00013918923268653428,0.0001145542337326,1.0,0.0
cru_seed43,cruise_010,cruise,402,-9.294164640489905,-9.335740565347871,-9.525537494379497,-7.781285308635281,-6.727273417608622,-6.658162965954709,1.0,0.8839945477336201,0.8083583840090244,0.004564299291614022,0.004564299291614022,0.018131002431130507,5.638853773492622e-05,3.844554521492682e-05,1.0,0.0
cru_seed43,cruise_012,cruise,402,-3.870019560286933,-3.5456836247844055,-5.26658299309277,-0.45948804112732466,-0.1781782678858782,-0.16032571664657613,1.0,0.5936425027729415,3.6814065760937495,0.005844445743953762,0.005844445743953762,0.023342387350658588,0.0001966098811436393,8.689300739206374e-05,1.0,0.0
cru_seed43,cruise_018,cruise,402,-9.14304066467971,-8.850802515147642,-10.013254179375764,-7.1059362001580295,-5.1100812901664145,-4.781940895674174,1.0,0.8858253399827587,0.842786341848255,0.006790221225264683,0.006790221225264683,0.02600421427564827,5.838526156895881e-05,8.74347606441006e-05,1.0,0.0
cru_seed43,highspeed_002,highspeed,402,-6.752346251738082,-5.229139001627031,-9.241362721638183,-4.1611422202397055,2.4036559522528105,2.597504381607293,0.9651741293532339,0.8262516482091946,1.1968189557395708,0.021417018422501884,0.021417018422501884,0.08403910291592025,0.00010124478710750207,8.697369048604742e-05,1.0,0.0
cru_seed43,highspeed_006,highspeed,402,-1.389198381551172,-0.7971305619062617,-1.166956076777224,-0.1622920311382224,0.24374518311164797,0.5538586522020862,0.9626865671641791,0.27996631701006236,7.063953173397786,0.0038911650302898607,0.0038911650302898607,0.015277972840711465,0.00034808672310214397,5.675863576470874e-05,1.0,0.0
cru_seed43,highspeed_015,highspeed,402,-0.8010948395270121,-0.2209327052156141,-0.19007388049227703,0.03710821252053968,0.07320324430323379,0.11038312763893698,0.7487562189054726,0.174676257087865,11.296940497053203,0.003068469025167698,0.003068469025167698,0.012246140043859639,0.0003985637649873439,3.6653353163274005e-05,1.0,0.0
cru_seed43,occlusion_003,occlusion,396,9.77781180689678,-7.026733726332182,-5.292985301498655,0.4065082837982794,22.024409352934917,30.95326492784846,0.6767676767676768,0.5436489709746122,8.407747548896669,0.3310168687592631,0.3310168687592631,0.7701496033978812,0.004485982863168819,1.223602774658161e-09,0.5782828282828283,0.05303030303030303
cru_seed43,occlusion_010,occlusion,396,-0.3880675081257315,-2.0774059390319883,0.004077713667904332,0.2778347218032902,1.3070739919367014,2.3211740980177664,0.4898989898989899,0.17183170563145145,13.470675209875811,0.004712257069893661,0.004712257069893661,0.01685134630655776,0.0004317871153355302,4.128428656713368e-07,0.19696969696969696,0.030303030303030304
cru_seed43,occlusion_011,occlusion,396,33.224270465823636,-4.485418648946401,-3.0343858248804567,0.4172797666058572,46.09650718136578,55.25850380626966,0.7323232323232324,0.49575316005264153,12.380237785403175,0.4033928053178088,0.4033928053178088,0.791788450907265,0.9919812790446191,3.951984139244358e-12,0.5757575757575758,0.045454545454545456
cru_seed43,sweep_turn_001,sweep_turn,402,-0.8500697715020635,-0.3527706602963954,0.07759325125075059,0.23275486984344881,0.3099379515414596,0.45643106113474863,0.4502487562189055,0.20986426329719096,9.178950023443544,0.003360655769696352,0.003360655769696352,0.013159609413670207,0.00039409445068321633,0.000112875844934,1.0,0.0
cru_seed43,sweep_turn_009,sweep_turn,402,-7.494062954113412,-7.594528612584865,-8.368929471022987,-5.409881450230197,-4.015658894961964,-3.948728228977293,1.0,0.835162657855162,1.425101136612655,0.0056273952469849545,0.0056273952469849545,0.022453460238151805,8.534950393455557e-05,0.0001017073518596,1.0,0.0
cru_seed43,sweep_turn_016,sweep_turn,402,-0.5039476736643643,-0.4115085216977268,-0.10650019649877342,0.021674505815625522,0.10097816434206446,0.10903378413545244,0.8557213930348259,0.1301507363143662,13.062670573962862,0.00286465346167115,0.00286465346167115,0.011449399336012515,0.00042678832375311497,0.0002200492745032,1.0,0.0
cru_seed43,uturn_004,uturn,402,-5.023357643971255,-4.659844023847335,-5.679556635277816,-2.7774033740132458,-1.58315381566914,-1.2236022559215445,1.0,0.7030822327406845,2.5126017718575895,0.0059669099776114756,0.0059669099776114756,0.02335330640314407,0.0001507549330904459,4.408682434586808e-05,1.0,0.0
cru_seed43,uturn_009,uturn,402,-1.3278236901115008,-0.9985326359006841,-0.3669237570909021,-0.1713093394454514,-0.1421523024377187,-0.12340524920418897,1.0,0.2683416140909812,9.248823789499736,0.0032825835667659856,0.0032825835667659856,0.013093344206806178,0.00035304082365848267,8.637246355647221e-05,1.0,0.0
cru_seed43,uturn_019,uturn,402,-6.166586487578078,-6.021315210338699,-6.307279818561255,-5.858391118482845,0.5750655783567605,1.716234246924242,0.9825870646766169,0.7753174274891096,0.8737781111055994,0.015277631142273375,0.015277631142273375,0.05384348254020185,0.00011586403474851394,9.010294161271304e-05,1.0,0.0
harmonic,climb_descent_011,climb_descent,396,-10.184365785332261,-9.974189999917236,-19.00035428389938,-9.063050526195743,1.2228866742288405,6.61945369260354,0.9848484848484849,0.96658166674803,0.48638871806234063,0.12097252954322338,0.12097252954322338,0.43708754779608167,7.962052496152381e-07,3.011623448401224e-05,0.9722222222222222,0.03282828282828283
harmonic,climb_descent_013,climb_descent,396,-3.3265830009313917,-2.719983076719728,-11.379974295198085,-2.400729318188046,11.04738200333898,13.118588671023852,0.9595959595959596,0.8595383215996654,0.6789366368242866,0.11138378742137538,0.11138378742137538,0.4284288923759797,3.861920373829456e-06,0.0001831340341595,1.0,0.0
harmonic,climb_descent_014,climb_descent,396,-7.87272830657458,-7.82410808094159,-11.867529829527758,-4.5059800762154465,3.096993277034602,6.139176103857497,0.9823232323232324,0.8877515718340874,0.41353702724389757,0.06360558555740614,0.06360558555740614,0.2174608177178324,1.355778631112281e-06,0.0001145542337326,1.0,0.0
harmonic,cruise_010,cruise,402,-14.585560454942394,-14.433150691839803,-20.221307819422126,-10.02528305210834,-4.7010351925459934,-3.0906670823897304,1.0,0.973067351834691,0.3103729865833703,0.03509645762038671,0.03509645762038671,0.12002695261523516,2.9338400772312127e-07,3.844554521492682e-05,1.0,0.0
harmonic,cruise_012,cruise,402,-5.707199339930118,-5.593305454574668,-15.329598791149559,-5.020200117114863,8.083523972671076,10.178965783253513,0.9701492537313433,0.8992979811384013,0.6573650010418962,0.09646959588117753,0.09646959588117753,0.3047189704904464,2.2660659670800646e-06,8.689300739206374e-05,1.0,0.0
harmonic,cruise_018,cruise,402,-6.672512372167262,-7.544968861761705,-17.323525003583594,-5.698099485861441,7.385732243700387,8.60268305239839,0.9651741293532339,0.9220561193515412,0.628671857171034,0.08380954625136343,0.08380954625136343,0.2973519270179207,1.814434291588435e-06,8.74347606441006e-05,1.0,0.0
harmonic,highspeed_002,highspeed,402,-3.2730930001459893,-2.2936139239637314,-10.057976955551421,-0.5455790658957661,7.222202329125043,9.71951969870307,0.9079601990049752,0.8268027124891045,1.3311606841185015,0.04954903683310424,0.04954903683310424,0.1483865511450225,3.969019040695639e-06,8.697369048604742e-05,1.0,0.0
harmonic,highspeed_006,highspeed,402,1.310261708918464,2.3402456714514788,-10.231326045642309,4.019466426860117,9.7614445122474,20.788409642456358,0.8333333333333334,0.8115122621363583,1.7142949584481741,0.22059148293815428,0.22059148293815428,0.4716606566469793,1.140298763193872e-05,5.675863576470874e-05,1.0,0.0
harmonic,highspeed_015,highspeed,402,0.14299740701697006,1.1006512201810632,-11.906685008296517,0.8020990011866995,14.861376349602915,15.806569333898576,0.8706467661691543,0.8327605670957423,1.3462401241496575,0.09164971939243173,0.09164971939243173,0.3394257904621872,8.715498311418888e-06,3.6653353163274005e-05,1.0,0.0
harmonic,occlusion_003,occlusion,396,20.47244958630694,-5.932014241286559,-5.727161601901393,5.358687638085049,36.453508402796885,37.969522482388506,0.696969696969697,0.6918985915137267,4.1286974070335605,0.14190970710316633,0.14190970710316633,0.4962774052253372,0.000926203832803034,1.223602774658161e-09,0.5782828282828283,0.05303030303030303
harmonic,occlusion_010,occlusion,396,2.3790604297794347,-2.0321831155961436,0.4684072176555771,5.585711535120984,10.093418461550725,14.311837599388236,0.45707070707070707,0.6317770418227706,3.5663669734174324,0.03940783090952383,0.03940783090952383,0.12141407545017996,1.4367051819791329e-05,4.128428656713368e-07,0.19696969696969696,0.030303030303030304
harmonic,occlusion_011,occlusion,396,50.801022203401786,-5.96812074021588,-5.62740408067672,2.9449901574416195,65.91743753551438,71.68393169607907,0.7727272727272727,0.7387001268168459,6.080718968971397,0.3094537595805678,0.3094537595805678,0.766781763977804,0.9989961984133987,3.951984139244358e-12,0.5757575757575758,0.045454545454545456
harmonic,sweep_turn_001,sweep_turn,402,-7.3345539742352015,-4.636860740863518,-14.138597307848011,-4.937555574683851,3.258007089270847,9.55014490306897,0.9651741293532339,0.9001779901148289,0.7558345393597992,0.12140702989421767,0.12140702989421767,0.3424684960993517,1.5578910594480017e-06,0.000112875844934,1.0,0.0
harmonic,sweep_turn_009,sweep_turn,402,-5.323266840865061,-5.235075281238371,-20.507720032712058,-7.066735118021956,7.640628038951604,11.94786807688268,0.9477611940298507,0.9388758519024991,0.7031482183192023,0.13270504655679,0.13270504655679,0.44016696406628747,2.475516345668746e-06,0.0001017073518596,1.0,0.0
harmonic,sweep_turn_016,sweep_turn,402,-0.37627570352798073,-0.0014159580814940144,-12.524094377412027,-1.9112573742659609,13.074876588377265,13.730944896589454,0.9228855721393034,0.8583872290096473,1.325813047086301,0.06404658928492392,0.06404658928492392,0.24985718104448942,7.733300958347528e-06,0.0002200492745032,1.0,0.0
harmonic,uturn_004,uturn,402,-8.21951009864436,-8.54099026830511,-8.88294611811704,-4.951240196599447,-2.6592128528540715,-0.1187130833719508,1.0,0.875155778740769,0.6253263168066078,0.01606399826071046,0.01606399826071046,0.04843930425517346,1.2706954432031861e-06,4.408682434586808e-05,1.0,0.0
harmonic,uturn_009,uturn,402,-1.0728772831144309,-1.4920377648069847,-14.086877955819187,-0.9284361806084035,13.800061961188586,16.10170949424249,0.9154228855721394,0.8819553960596596,1.2447540427069295,0.12978742756834366,0.12978742756834366,0.4206628095252178,6.587259220841818e-06,8.637246355647221e-05,1.0,0.0
harmonic,uturn_019,uturn,402,0.3451375297191159,3.181016742821021,-14.25531828706092,-2.530693978562372,9.701812218921884,20.5017288922446,0.9353233830845771,0.9061611170361551,0.9939475036158884,0.2578891573816048,0.2578891573816048,0.7283385987161981,9.130745446032666e-06,9.010294161271304e-05,1.0,0.0
hold,climb_descent_011,climb_descent,396,-15.187020231987242,-14.420315632837921,-20.83124459393234,-9.95564798235214,-6.142051753286397,-2.8213543289213394,1.0,0.9804288431851551,0.3530074068771545,0.04353829366842898,0.04353829366842898,0.13754677831709053,1.292582553227602e-06,3.011623448401224e-05,0.9722222222222222,0.03282828282828283
hold,climb_descent_013,climb_descent,396,-9.726812992625808,-9.31832815199401,-11.762302177476897,-4.552609626628219,-2.8220313790246636,-2.2984380045330646,1.0,0.9007280166402007,0.1386830224239589,0.01396826008526318,0.01396826008526318,0.053419276856373,4.544425766900501e-06,0.0001831340341595,1.0,0.0
hold,climb_descent_014,climb_descent,396,-11.244926105879458,-11.150898917492531,-12.884960468780966,-6.953566191933494,-4.596124462018453,-3.817422862722375,1.0,0.9278322793919631,0.09841659282927026,0.013965456564040125,0.013965456564040125,0.05002263790752516,3.2038170059442824e-06,0.0001145542337326,1.0,0.0
hold,cruise_010,cruise,402,-14.011560429218836,-13.846588922836244,-18.918555565657872,-8.24750816243737,-6.811765290359249,-6.709740637206679,1.0,0.9613806783263363,0.06268670483587804,0.013364598805479303,0.013364598805479303,0.05281724540708097,1.7200264964530663e-06,3.844554521492682e-05,1.0,0.0
hold,cruise_012,cruise,402,-11.441542431234478,-11.177320057019124,-17.378546318362712,-6.157971188009389,-3.764774009645155,-3.128407590813254,1.0,0.9322010342457995,0.09299388967875567,0.01686892591733913,0.01686892591733913,0.06334355682321804,3.1084002622148415e-06,8.689300739206374e-05,1.0,0.0
hold,cruise_018,cruise,402,-12.022946571150248,-11.448461643597971,-16.912197339089207,-6.958957661405317,-4.094286945280635,-3.8442678760221787,1.0,0.9394819199742369,0.13720784895151006,0.016354671165615814,0.016354671165615814,0.06338755776789588,2.718920585972572e-06,8.74347606441006e-05,1.0,0.0
hold,highspeed_002,highspeed,402,-7.4884195043701896,-5.9403378279169585,-11.540483064697922,-3.19506433361411,2.518084326486714,2.6553017967447747,0.9527363184079602,0.8595672203298104,0.45105702284896115,0.025712604931059587,0.025712604931059587,0.10153487618584385,7.724123865842461e-06,8.697369048604742e-05,1.0,0.0
hold,highspeed_006,highspeed,402,-7.049542465674193,-5.799234784219839,-12.045652812650394,-2.8684655451148333,3.5252733461085297,3.639951813012725,0.9427860696517413,0.8604812856648091,0.33012347003278225,0.029155693415137636,0.029155693415137636,0.11554973631599949,8.545489275543726e-06,5.675863576470874e-05,1.0,0.0
hold,highspeed_015,highspeed,402,-8.90937917649153,-8.115368449807738,-12.160477601959531,-4.474054499994572,-0.20483434563418174,0.33429621016013755,0.9950248756218906,0.8900422063558849,0.3741120684330713,0.020899768980417347,0.020899768980417347,0.07848475298883732,5.568692824893995e-06,3.6653353163274005e-05,1.0,0.0
hold,occlusion_003,occlusion,396,17.430245173274816,-8.8338664064505,-8.417017968699433,5.345057554359835,30.68312708642619,38.194790602716736,0.6515151515151515,0.7811712780920318,2.1630715226090964,0.3011336977164272,0.3011336977164272,0.763034625650868,0.002361483036538397,1.223602774658161e-09,0.5782828282828283,0.05303030303030303
hold,occlusion_010,occlusion,396,2.2223329604074697,-3.2783454039459716,0.8727600094825088,5.830703302947028,8.374571280661788,9.522870711070032,0.45202020202020204,0.6811212653713419,1.9067017857848598,0.013563088299468267,0.013563088299468267,0.04843022610662023,7.118583914880603e-05,4.128428656713368e-07,0.19696969696969696,0.030303030303030304
hold,occlusion_011,occlusion,396,43.68753486579726,-8.45910589726994,-7.321582665473022,5.063224587655525,42.80330177326431,67.69600989218473,0.6641414141414141,0.7719920354360915,2.909746662259685,0.6355537955889852,0.6355537955889852,0.9977663126629852,0.9975020559147344,3.951984139244358e-12,0.5757575757575758,0.045454545454545456
hold,sweep_turn_001,sweep_turn,402,-9.452609670658127,-7.088135861129102,-14.406789918535196,-7.131958350579591,0.5091546240049424,4.000211334809182,0.9825870646766169,0.9061843989858872,0.22120364717079272,0.055087878495703686,0.055087878495703686,0.20046313089267687,4.9139441141715735e-06,0.000112875844934,1.0,0.0
hold,sweep_turn_009,sweep_turn,402,-14.36130342697817,-13.905322684414568,-22.73642655321494,-9.835320399692005,-4.800158278190488,-4.202462468427612,1.0,0.9660600828590677,0.19544209213102057,0.02580227756356022,0.02580227756356022,0.09512135056738893,1.5869412071430508e-06,0.0001017073518596,1.0,0.0
hold,sweep_turn_016,sweep_turn,402,-9.532321243901666,-9.413144162499709,-12.68326239614224,-3.9494419213227157,-2.8047869990911467,-2.7206187742575336,1.0,0.8969795565996597,0.17216216895747546,0.0119383468883174,0.0119383468883174,0.0472138295571878,4.8245749286832465e-06,0.0002200492745032,1.0,0.0
hold,uturn_004,uturn,402,-7.706800807678743,-8.168874901516222,-8.298432566712691,-4.417192979585776,-2.149549802487349,-1.5496002979278778,1.0,0.8591749641432691,0.5864789890063421,0.010268192405506676,0.010268192405506676,0.038546500760717486,7.345326403938794e-06,4.408682434586808e-05,1.0,0.0
hold,uturn_009,uturn,402,-9.704697034974226,-10.121940338171857,-16.371255334551016,-4.738696229933645,-0.5669147739045618,-0.23006097952599167,1.0,0.9074988010807417,0.14538292236710418,0.02204131759852395,0.02204131759852395,0.08618367097189225,4.636833233882291e-06,8.637246355647221e-05,1.0,0.0
hold,uturn_019,uturn,402,-10.875516330753797,-9.583979944305614,-15.799451138343565,-8.97166755274868,0.010555347153374767,2.725035069261118,0.9875621890547264,0.9314454625219059,0.19613452328434758,0.05699399328863656,0.05699399328863656,0.18331335119566447,3.5411110535256e-06,9.010294161271304e-05,1.0,0.0
kalman,climb_descent_011,climb_descent,396,-14.567157703240522,-13.174375786306463,-21.561202799170097,-12.013679819043833,-2.1990183364895124,0.6085856472361335,0.9974747474747475,0.987169541343294,0.40745819078533757,0.08315323488727126,0.08315323488727126,0.2489173910283255,4.2910284342899285e-07,3.011623448401224e-05,0.9722222222222222,0.03282828282828283
