sample_id,traj_id,scenario,cutoff_s,query_s,history_count,pattern,los_transition,query_los,ablation,query_band_ms,error,energy,nmse,amplitude_nmse,shape_correlation,gain_error_db,gain_abs_error_db,run
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.2000000029802322,16,uniform,True,False,none,100-200,2.357078665227164e-05,1.6186637585846595e-09,14561.8798828125,14316.3857421875,0.0027452383656054,41.62815856933594,41.62815856933594,hold
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,4.0948707464849576e-05,4.002917788903382e-12,10229714.0,10223889.0,0.0001996577775571,70.09860229492188,70.09860229492188,kalman
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,3.6361179809318855e-05,4.481705805081671e-12,8113245.5,8107581.0,0.0002163657773053,69.09191131591797,69.09191131591797,kalman
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,1.569410778756719e-05,4.135132340710168e-12,3795309.5,3791738.75,0.0001406402880093,65.79241943359375,65.79241943359375,kalman
occlusion_011:0:1628,occlusion_011,occlusion,3.256,0.5,30,bursty,False,False,none,200-500,1.4232935427571649e-05,4.475314216434434e-12,3180320.75,3176803.0,0.000254940445302,65.02469635009766,65.02469635009766,kalman
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,8.70924395712791e-06,4.139908468120401e-12,2103728.75,2100851.0,0.0001796081633074,63.22984313964844,63.22984313964844,kalman
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,6.614470748900203e-07,4.002917788903382e-12,165241.21875,164488.75,0.0003021783195436,52.18084716796875,52.18084716796875,latent_ode_seed17
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,6.183586265251506e-07,4.135132340710168e-12,149537.8125,148834.171875,0.0003298223891761,51.7474365234375,51.7474365234375,latent_ode_seed17
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,8.850363428791752e-07,3.7824604559588686e-11,23398.427734375,23123.685546875,9.28428562474437e-05,43.69182586669922,43.69182586669922,latent_ode_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,8.094656323009985e-08,3.959257834779129e-12,20444.8828125,20225.88671875,0.0006053600809536,43.10610961914063,43.10610961914063,latent_ode_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,7.090743281423785e-08,4.019860833093247e-12,17639.275390625,17438.15625,0.0006810325430706,42.46591567993164,42.46591567993164,latent_ode_seed17
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,5.71930797832465e-07,4.002917788903382e-12,142878.46875,142198.765625,7.708457997068763e-05,51.54983139038086,51.54983139038086,latent_ode_seed29
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,5.500557449522603e-07,4.135132340710168e-12,133020.109375,132349.3125,0.0002147057530237,51.23900604248047,51.23900604248047,latent_ode_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,7.901509491148317e-08,3.959257834779129e-12,19957.046875,19732.271484375,0.0001534004259156,43.00148391723633,43.00148391723633,latent_ode_seed29
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,7.202265805972274e-07,3.7824604559588686e-11,19041.21875,18795.064453125,1.0176490832236595e-05,42.79690170288086,42.79690170288086,latent_ode_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,6.926387641215116e-08,4.019860833093247e-12,17230.416015625,17021.77734375,0.0001663374423515,42.36346435546875,42.36346435546875,latent_ode_seed29
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,6.853009040241886e-07,4.002917788903382e-12,171200.328125,170480.296875,0.00077982514631,52.33503723144531,52.33503723144531,latent_ode_seed43
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,6.381793582477258e-07,4.135132340710168e-12,154331.0625,153613.484375,0.0009527744259685,51.8839111328125,51.8839111328125,latent_ode_seed43
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,7.852673888919526e-07,3.7824604559588686e-11,20760.755859375,20518.130859375,0.0003284632985014,43.17331314086914,43.17331314086914,latent_ode_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,6.576255628942819e-08,3.959257834779129e-12,16609.818359375,16409.966796875,0.0009900809964165,42.20429229736328,42.20429229736328,latent_ode_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,5.623145327149359e-08,4.019860833093247e-12,13988.4072265625,13808.64453125,0.001058708759956,41.45938491821289,41.45938491821289,latent_ode_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,6.658143684035167e-05,4.481705805081671e-12,14856271.0,14848603.0,0.0002138202398782,71.71907806396484,71.71907806396484,linear
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,4.897342660115101e-05,4.002917788903382e-12,12234432.0,12228049.0,0.0002059421822195,70.87579345703125,70.87579345703125,linear
occlusion_011:0:1628,occlusion_011,occlusion,3.256,0.5,30,bursty,False,False,none,200-500,3.179558552801609e-05,4.475314216434434e-12,7104659.5,7099405.5,0.0002564654278103,68.51542663574219,68.51542663574219,linear
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,2.232221231679432e-05,4.135132340710168e-12,5398185.5,5393968.5,8.766184328123927e-05,67.32245635986328,67.32245635986328,linear
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,1.5965757484082133e-05,4.139908468120401e-12,3856548.5,3852651.25,0.000177991882083,65.86195373535156,65.86195373535156,linear
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,3.637808632106498e-08,4.002917788903382e-12,9087.892578125,8917.181640625,0.0007348617073148,39.58452606201172,39.58452606201172,neural_flow_seed17
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,2.4547562205157192e-08,4.135132340710168e-12,5936.34228515625,5793.23876953125,0.0011676069116219,37.731719970703125,37.731719970703125,neural_flow_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,2.1422879470378572e-08,3.959257834779129e-12,5410.83203125,5287.08154296875,0.0011244198540225,37.3347282409668,37.3347282409668,neural_flow_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,1.940280647261261e-08,4.019860833093247e-12,4826.73583984375,4710.5009765625,0.0011457977816462,36.83984756469727,36.83984756469727,neural_flow_seed17
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,1.6314629647240512e-08,4.139908468120401e-12,3940.81884765625,3832.119140625,0.0012669251300394,35.956153869628906,35.956153869628906,neural_flow_seed17
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,4.0328401951228443e-07,4.135132340710168e-12,97526.265625,96986.0546875,5.435511047835462e-05,49.891361236572266,49.891361236572266,neural_flow_seed29
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,1.579982580324213e-07,4.002917788903382e-12,39470.76953125,39124.84765625,1.847862768045161e-05,45.96245574951172,45.96245574951172,neural_flow_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,3.008766569223553e-08,3.959257834779129e-12,7599.3193359375,7446.8037109375,7.81059279688634e-05,38.80783462524414,38.80783462524414,neural_flow_seed29
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,2.8236875948550733e-08,4.019860833093247e-12,7024.341796875,6876.9462890625,5.54854741494637e-05,38.466041564941406,38.466041564941406,neural_flow_seed29
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,2.4519565045011404e-07,3.7824604559588686e-11,6482.43798828125,6346.22021484375,2.1898381419305224e-06,38.11664962768555,38.11664962768555,neural_flow_seed29
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,2.3986407526876974e-08,4.135132340710168e-12,5800.638671875,5659.9736328125,0.0052685854025185,37.63081359863281,37.63081359863281,neural_flow_seed43
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,2.240930108143857e-08,4.002917788903382e-12,5598.24169921875,5462.150390625,0.0034389584325253,37.475887298583984,37.475887298583984,neural_flow_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.050000000745058,18,dropout,False,False,none,20-50,1.170959862406562e-08,3.959257834779129e-12,2957.5234375,2865.23828125,0.0022557696793228,34.71036529541016,34.71036529541016,neural_flow_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.1000000014901161,18,dropout,False,False,none,50-100,1.025436269230795e-08,4.019860833093247e-12,2550.9248046875,2467.335205078125,0.0026529661845415,34.07220458984375,34.07220458984375,neural_flow_seed43
