family,case,model,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db,gain_bias_db,predicted_gain_below_truth_20db_fraction
cruise,timestamps_none,kalman,1200,0.03918549164683403,-14.068746999189612,-12.82130811792317,-19.460625449681274,-10.070599095661354,0.022164141701869085,0.9726915882527828,0.38987746425763664,0.38364145966106056,0.0
cruise,timestamps_none,harmonic,1200,0.05843000591213543,-12.333640697464215,-10.988758776200829,-18.573895901885106,-7.763068462473408,0.02191079750106534,0.9545713867992163,0.35505252472522747,0.32725478108419337,0.0
cruise,timestamps_none,cru,1200,0.04813036187095956,-13.175808730417337,-11.966494158021,-18.759904462444712,-8.374696404687981,0.02215253978503218,0.9539690266301235,0.3282496877172889,-0.30650516473912526,0.0
cruise,timestamps_none,latent_ode,1200,0.050565151110859005,-12.961486905589314,-11.931203900030896,-18.481681825185795,-8.282587014891416,0.019705726737095877,0.9515476387242476,0.18245124921864164,-0.06682326056279635,0.0
cruise,timestamps_none,neural_flow,1200,0.04853362128107013,-13.13957303085868,-11.939166880320444,-18.683309210459242,-8.38541701425022,0.020560160151205008,0.9529605734845003,0.24308416615804543,-0.229499962546995,0.0
cruise,timestamps_none,tpatchgnn,1200,0.021567733501190862,-16.66195491413195,-15.363600280213541,-20.941095355079327,-12.354885736450719,0.011096701978628214,0.9800311780224243,0.20565188638320858,-0.04363609569395218,0.0
cruise,timestamps_none,time_rwkv_csi,1200,0.05052255235799142,-12.965147173607406,-11.826937385640761,-18.544249263831055,-8.31692323661101,0.019525790640400373,0.951894282673796,0.2196734222723717,-0.13079564462554724,0.0
cruise,timestamps_none,ct_transformer_csi,1200,0.023897486169007606,-16.21647781074786,-15.173138928546692,-20.416942671599745,-11.492329143274887,0.011820054348233194,0.9778940344353517,0.2593831571688133,-0.22061204191046271,0.0
cruise,timestamps_uniform_times,hold,1200,0.059511876849307255,-12.253963530045011,-11.507196023827166,-17.66730167530349,-7.124183109396145,0.009163825959149108,0.9431185889244079,0.09464887273818097,-0.05467421503136317,0.0
cruise,timestamps_uniform_times,linear,1200,0.04206316593481461,-13.760980427225654,-12.630772129146127,-18.73166350066103,-9.82736438915237,0.02372260213761668,0.9714360748231411,0.4388692201907785,0.43249759612537064,0.0
cruise,timestamps_uniform_times,kalman,1200,0.04079250091885721,-13.894196680105804,-12.68827574994248,-19.051291015697394,-9.84233497008475,0.022983488683845886,0.9717285067339738,0.39952278320808543,0.3913153925424073,0.0
cruise,timestamps_uniform_times,harmonic,1200,3.979417214729668,5.9981947434519505,6.281780152706473,4.533537312327542,9.652646019081729,2.1572804755719455,0.41222178330800185,5.340033631323216,5.321191546311602,0.0
cruise,timestamps_uniform_times,cru,1200,0.048313917369123376,-13.159277477997506,-11.949537135519643,-18.742893616638458,-8.461069656879298,0.0222791159776898,0.95379703288277,0.331054668580764,-0.3090140187574434,0.0
cruise,timestamps_uniform_times,latent_ode,1200,0.050551845416533375,-12.962629856795406,-11.932006388637896,-18.483138147468303,-8.283067622602463,0.019698528593144148,0.9515537524223328,0.18217289278654486,-0.06707003703284803,0.0
cruise,timestamps_uniform_times,neural_flow,1200,0.04852752942606457,-13.140118183888017,-11.939730865493841,-18.686229709920788,-8.387460312722146,0.02055472934048642,0.9529648419717948,0.2429090230040803,-0.22939185006970925,0.0
cruise,timestamps_uniform_times,tpatchgnn,1200,0.024938331774562054,-16.03132601592606,-14.769193849326228,-20.525709025401323,-11.867395334527666,0.011986013140740397,0.976706453487277,0.20841431681295944,-0.05954689664665542,0.0
cruise,timestamps_uniform_times,time_rwkv_csi,1200,0.05029463678346171,-12.984783238810998,-11.85326588813709,-18.537024637758186,-8.304994142937874,0.019568239897295524,0.9520227864633004,0.22335478764313546,-0.14990218005620895,0.0
cruise,timestamps_uniform_times,ct_transformer_csi,1200,0.03026494900940937,-15.190600534530908,-14.289764569289689,-19.596532596202824,-10.547207749970168,0.0131616233013483,0.9715874870618184,0.30457967516878853,-0.2736406690599203,0.0
