family,case,model,query_s,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
occlusion,main,hold,0.10000000149011612,600,1.271357262112821,1.0426760811651112,-8.114846650630742,-5.680883638278385,4.9490377797799905,0.36997194974528,0.8472226498089731,1.7442437090992462
occlusion,main,hold,0.20000000298023224,600,1.6907928977704918,2.2809041489298623,-5.855540236400948,-4.636699179652477,5.027965778865234,0.7356094954389846,0.8413987681871125,2.992589744882037
occlusion,main,hold,0.5,600,4.176822315448274,6.208460005077151,-2.064766686161626,-2.2289141263206917,12.099532803672798,2.223971914098171,0.7576156254136004,5.795934087898737
occlusion,main,linear,0.009999999776482582,600,0.44817374195961746,-3.485535919243476,-11.889747437612154,-9.668236033125261,0.8342299392443134,0.1584290451244548,0.8577114310286318,2.0759372648463854
occlusion,main,linear,0.019999999552965164,600,0.5704994750678695,-2.437447508517833,-10.99028821161777,-8.831513736844169,1.5928105524672802,0.1782531320633522,0.8379645940195769,2.131370648548376
occlusion,main,linear,0.05000000074505806,600,0.8387791594742642,-0.763523686665971,-9.228200963214064,-7.1892501291810404,3.4004107268372517,0.2381279383469761,0.8531028169361525,2.3046617685157496
occlusion,main,linear,0.10000000149011612,600,1.451871319079073,1.6192812608142761,-7.1834873646342565,-5.522428245941892,4.647517892017075,0.5351708831153034,0.8425724264358481,2.7485537460073344
occlusion,main,linear,0.20000000298023224,600,3.166543830061176,5.005855037392957,-4.336094243282804,-2.881069987057601,7.362296432498195,1.8644691356255982,0.8330119253555313,3.8609773460434127
occlusion,main,linear,0.5,600,27.158569778328918,14.33906895441509,1.330920424195262,0.9936755190136501,16.90269798150254,22.79084220511994,0.7514607475762023,7.32266376061365
occlusion,main,kalman,0.009999999776482582,600,0.3797262922951874,-4.205293312157606,-12.500136510629387,-10.53641551437511,0.26709431877504136,0.1352241201364086,0.8659556079780062,1.9394036808310677
occlusion,main,kalman,0.019999999552965164,600,0.5098181269632187,-2.9258472692845654,-11.438841798028426,-9.182729563866419,1.42037733586981,0.15288297318077335,0.8415847521647811,1.9590288929777064
occlusion,main,kalman,0.05000000074505806,600,0.7560955892476098,-1.2142329542675236,-9.596609157122028,-7.45151354735653,3.1954876837083837,0.18562798743359357,0.8605425617021198,2.038740082635195
occlusion,main,kalman,0.10000000149011612,600,1.3238436922124432,1.218367104684805,-7.485432119548447,-5.813984825893741,4.663686856442426,0.43604689598374535,0.8464669853200515,2.395360004768857
occlusion,main,kalman,0.20000000298023224,600,2.8069146785970465,4.482292116448925,-4.528767494233512,-3.052119279188683,6.752723345970122,1.5898106150627913,0.8418850768811535,3.4573087386008896
occlusion,main,kalman,0.5,600,23.35561452484069,13.683912987801357,1.306582555988076,0.8309641147872024,16.657803531760283,19.10194442507345,0.764475568801475,6.867891202665245
occlusion,main,harmonic,0.009999999776482582,600,1.063489466397635,0.2673319267970957,-5.575795437679023,-9.397219410254436,3.0863117032699545,0.5163102799993552,0.8623010999243707,2.218045243876792
occlusion,main,harmonic,0.019999999552965164,600,0.9829623935065077,-0.0746309722892899,-6.885088941040096,-9.002992367095576,2.85942565325724,0.4509049391022806,0.8565774183759155,2.3060235700174236
occlusion,main,harmonic,0.05000000074505806,600,1.2318893618594544,0.9057170483200343,-5.281509084998843,-6.526287374039972,4.261119887811119,0.5000777871227668,0.8516102567811807,2.6473571730738814
occlusion,main,harmonic,0.10000000149011612,600,1.9962407965302311,3.0021292687961445,-4.886405734003679,-5.252501956900773,7.040841637316959,0.8723363384837285,0.8349999124944831,3.3720957452539975
occlusion,main,harmonic,0.20000000298023224,600,2.983003093864148,4.746537037970041,-2.5031819638904813,-2.144079074164695,9.112841228937242,1.5474360811690955,0.8030322288807171,4.540136282324481
occlusion,main,harmonic,0.5,600,13.01859261525174,11.145640370380823,0.3131156226055186,0.17940946338435382,15.005001981522454,9.799742505503042,0.7422043417414534,7.8920935948488
occlusion,main,cru,0.009999999776482582,600,0.18217292729338322,-7.395161630419077,-13.944893816755371,-14.155697222906532,-2.178090688284348,0.06419183228087301,0.8924093658973773,0.7052920955291484
occlusion,main,cru,0.019999999552965164,600,0.4410926500785475,-3.5547017880496035,-11.182318764215838,-9.877089156402622,0.8153938708645813,0.13444618453737348,0.8300135670330686,1.3842441455895702
occlusion,main,cru,0.05000000074505806,600,0.6154107602561514,-2.108349145249982,-8.016690355466654,-6.565180193723871,2.662540758526169,0.18867445372355482,0.8737891457354029,3.382173363864422
occlusion,main,cru,0.10000000149011612,600,0.7680760591228804,-1.1459577160676508,-4.377588041133586,-3.68888788315824,2.3765240116938813,0.36600610306176046,0.8333609836610655,7.134002895361434
occlusion,main,cru,0.20000000298023224,600,0.9223065854112307,-0.35124690421589366,-0.6486591249647734,-0.4698023641636739,0.21858128605414118,0.7753361679613591,0.3357318311305911,18.0191228834788
occlusion,main,cru,0.5,600,1.095341717551152,0.3954962866933599,-0.2772785735372336,-0.08770442596602673,1.332395908632486,0.7223084203153849,0.24875420164782555,16.62536761163113
occlusion,main,latent_ode,0.009999999776482582,600,0.18150914215055916,-7.411014957763546,-13.763014653985348,-13.877976386357007,-2.2217717645506023,0.06549818178929855,0.892398958876729,0.8378218609622369
occlusion,main,latent_ode,0.019999999552965164,600,0.4334525731547425,-3.630584145522129,-10.810346934696828,-9.624640040099823,0.6747289678597256,0.13729980800688887,0.8300088211769859,1.6692527842226748
occlusion,main,latent_ode,0.05000000074505806,600,0.6037253492077191,-2.1916058861578906,-7.02315531693146,-5.903439380309552,2.3577657057122225,0.21664540530182422,0.8726929735889037,4.220422629813354
occlusion,main,latent_ode,0.10000000149011612,600,0.7863637431214253,-1.0437651873300962,-3.069854984256391,-2.7364677204467323,1.7535256411833933,0.4718122254995008,0.815566175195078,9.46834767512977
occlusion,main,latent_ode,0.20000000298023224,600,1.1006566282113392,0.4165185327528043,0.5029021740009986,0.42819273362525134,0.6692228734852361,0.7946146968007087,0.19927389897677736,18.717156301736832
occlusion,main,latent_ode,0.5,600,1.0374728818734487,0.15976753666886828,0.07019386646368522,0.07040269465754262,0.5085256549280488,0.8074754162629445,0.01649081806863781,21.36981245438258
occlusion,main,neural_flow,0.009999999776482582,600,0.18121736522220697,-7.418001882329879,-13.501155211461306,-13.645851953938855,-2.272174728178377,0.06771974458630818,0.8924004283050696,1.0091226117743646
occlusion,main,neural_flow,0.019999999552965164,600,0.42664111755012224,-3.6993729172623055,-10.3283599022806,-9.287692284160858,0.550331307233734,0.1434280275576748,0.8299635469044249,2.0282475840269276
occlusion,main,neural_flow,0.05000000074505806,600,0.6018966674928864,-2.204780612165906,-6.0882516633771395,-5.169042132599714,2.0168372767206173,0.25698043609193216,0.8730513646453619,5.211320851507287
occlusion,main,neural_flow,0.10000000149011612,600,0.8039761229107777,-0.9475684906507491,-2.301063666465,-2.0609260986076907,1.3215054430126167,0.5687108978380759,0.8167049688783785,11.846845908562342
occlusion,main,neural_flow,0.20000000298023224,600,1.0398461264371872,0.16969078353210515,0.1811288990453298,0.14795347836753897,0.385348725832143,0.8645213223000368,0.190355551622218,23.143828111489615
occlusion,main,neural_flow,0.5,600,1.0079424958427747,0.034357558688868216,-0.180760671203562,-0.012018514360005478,0.2579812321095024,0.857952222985526,0.3607924019485411,25.754139205155273
occlusion,main,tpatchgnn,0.009999999776482582,600,0.181435888937364,-7.412768031313496,-13.271324253242788,-13.35965710797661,-2.306417477211316,0.06984722346571895,0.8922424657891194,1.1385396855293464
occlusion,main,tpatchgnn,0.019999999552965164,600,0.4228095776339372,-3.7385518345908424,-9.89082112077204,-8.92549468689838,0.41918074853729054,0.15027234187349678,0.8291832849290222,2.325803825656573
occlusion,main,tpatchgnn,0.05000000074505806,600,0.6082982096076012,-2.1588346178577558,-5.15213522057992,-4.436042541882719,1.6820652367226345,0.3102256740288188,0.8623967165624102,6.316127538383007
occlusion,main,tpatchgnn,0.10000000149011612,600,0.8859831501046816,-0.5257453757812215,-1.0685175950536012,-0.9549543812642469,0.630456788353622,0.7361292059967915,0.5189521809364669,16.146641835371653
occlusion,main,tpatchgnn,0.20000000298023224,600,1.2559234677751858,0.9896317559894667,1.0922154214490392,1.0756899544102434,1.5330119376573526,0.6718630564461152,0.5691494174681915,14.356260177989801
occlusion,main,tpatchgnn,0.5,600,1.1956190860768159,0.7759283921408322,0.6301035498160468,0.6924380073706967,1.4280035990822149,0.7233136152724425,0.6610816470621406,17.717682637112837
occlusion,main,time_rwkv_csi,0.009999999776482582,600,0.1811311861659245,-7.4200676882596355,-13.725840591786575,-13.84765558239966,-2.2364789713703166,0.06578246596327517,0.8924272814889749,0.8704613117785872
occlusion,main,time_rwkv_csi,0.019999999552965164,600,0.42853479261665295,-3.680139120651502,-10.626515453841703,-9.542226684426058,0.6269789567355216,0.1390735847596079,0.8300689738911267,1.8225282838164518
occlusion,main,time_rwkv_csi,0.05000000074505806,600,0.601642261656622,-2.2066166483725165,-5.297960666044866,-4.621255092144021,1.6878082633239109,0.3008324747967223,0.8717785468945901,6.167867788126071
occlusion,main,time_rwkv_csi,0.10000000149011612,600,1.0346620202064514,0.1479850754120204,0.2419973491911136,0.15284595239743956,0.3729920572775306,0.8643699073294798,0.1597759426310711,22.434119490782418
occlusion,main,time_rwkv_csi,0.20000000298023224,600,1.002416349252065,0.01048141318148305,0.008289833383949579,-0.001238045444928595,0.18362050914224595,0.8908846967915693,0.09146517621396508,24.850965309937795
occlusion,main,time_rwkv_csi,0.5,600,1.0318766449888548,0.13627782947523465,0.15565873379025086,0.053811951203647915,0.3890636732739014,0.8613377041618029,0.22547906539870988,25.178160413503647
occlusion,main,ct_transformer_csi,0.009999999776482582,600,0.18210909802059178,-7.396683566683543,-14.176271832967704,-14.237183880408473,-2.1054234237443383,0.06300447396167631,0.8922701152910789,0.5207335258418849
occlusion,main,ct_transformer_csi,0.019999999552965164,600,0.44069811412637744,-3.5585880795674836,-11.720580453396632,-9.949302187705172,1.042935363536402,0.12887102634898231,0.8296597020048648,0.9809637708511825
occlusion,main,ct_transformer_csi,0.05000000074505806,600,0.5692846682535795,-2.4467051227580443,-9.722015359931728,-7.064178971434703,2.3872837185392495,0.15873138403054327,0.8727761296307047,2.6650079587846993
occlusion,main,ct_transformer_csi,0.10000000149011612,600,0.6616646957211196,-1.7936203728105764,-7.344024650113852,-4.400427561888412,1.7219124615085701,0.2931298186505834,0.8024471239528308,5.688515954737862
occlusion,main,ct_transformer_csi,0.20000000298023224,600,0.7369090166004996,-1.3258612954602982,-4.921599796988612,-2.7076809448568584,1.1411520362838714,0.4159945443520943,0.7605808281898498,8.487979960478842
occlusion,main,ct_transformer_csi,0.5,600,1.024391921684146,0.10466144980078265,-0.7735078701060523,-0.2734380722020353,1.5231171501193739,0.7137132019177079,0.528094964910609,17.449808851803343
occlusion,pattern_uniform_n16,hold,0.009999999776482582,200,0.2161773211674881,-6.651898691636287,-14.10758611689717,-12.941725852159445,-1.5656461690770835,0.0735162539643352,0.8759964272379875,0.43468029670308167
occlusion,pattern_uniform_n16,hold,0.019999999552965164,200,0.4838814706308767,-3.152610080976955,-11.235022170691773,-8.73876709146882,2.1159812990820512,0.11993043562979437,0.8157914365082979,0.6952407033578493
occlusion,pattern_uniform_n16,hold,0.05000000074505806,200,0.7510040337010286,-1.243577303601541,-9.347662792982955,-6.581917622078269,4.260658223774764,0.11048781555728056,0.8602901690080762,1.1388891275890638
occlusion,pattern_uniform_n16,hold,0.10000000149011612,200,1.0253621732769533,0.10877291805271697,-7.439228886095416,-5.075054181933476,4.84814448961825,0.16485424537502694,0.840388469491154,1.6865715735312552
occlusion,pattern_uniform_n16,hold,0.20000000298023224,200,1.3335559067036957,1.2501122734795291,-5.797390711290338,-3.9911234819690136,4.853078727080134,0.4209039877948817,0.8240422666381346,2.903271632210817
occlusion,pattern_uniform_n16,hold,0.5,200,3.7579230247996747,5.749478800095514,-1.8627088154612703,-1.5986722399944169,11.439062528596487,1.950180823977571,0.7500566532067023,6.128981438595802
occlusion,pattern_uniform_n16,linear,0.009999999776482582,200,0.4700924043846317,-3.2781676595808005,-12.131618669651134,-8.804366998858134,0.44209182420225945,0.18048328040575143,0.8224978832062334,2.850205765757128
occlusion,pattern_uniform_n16,linear,0.019999999552965164,200,0.5915744136157446,-2.2799061808588803,-11.12975001857238,-6.462966312307369,1.608679283114198,0.20059458317118697,0.8085034019872546,2.9156772423457005
occlusion,pattern_uniform_n16,linear,0.05000000074505806,200,0.800674054104602,-0.9654424460606847,-9.11753253890639,-5.57627650526751,2.138928368877707,0.24409422350348906,0.8153589939139784,3.0164672858896666
occlusion,pattern_uniform_n16,linear,0.10000000149011612,200,1.3227623389288783,1.2148182138816612,-6.744186386200612,-4.420759821304372,3.252186611036585,0.4545175513351569,0.8069688829034567,3.289105422729626
occlusion,pattern_uniform_n16,linear,0.20000000298023224,200,2.625636104119476,4.192345355676629,-4.225659996668259,-1.6478280028235721,7.580706750268357,1.4932639056048356,0.7982383996236604,4.417905511801364
occlusion,pattern_uniform_n16,linear,0.5,200,27.979892711751162,14.46846044866896,1.600152707699867,1.1028283464432271,16.912812727568095,23.271372574428096,0.7204729774827138,7.864110609851777
occlusion,pattern_uniform_n16,kalman,0.009999999776482582,200,0.4088257657090435,-3.8846174116923917,-12.735693628933092,-9.27705540034025,0.22701063128590115,0.16266600328293862,0.8360536158084869,2.7332012561004375
occlusion,pattern_uniform_n16,kalman,0.019999999552965164,200,0.5425613515230361,-2.6555114573491827,-11.53958173787631,-7.064232115453311,1.5258025388521104,0.18092191815725528,0.8174372268677689,2.767565344616305
occlusion,pattern_uniform_n16,kalman,0.05000000074505806,200,0.7331133296887856,-1.3482888394820924,-9.338796566970037,-5.724450682002934,2.2681870977626066,0.20629011814657133,0.8246078860014677,2.7635899997036906
occlusion,pattern_uniform_n16,kalman,0.10000000149011612,200,1.1774123997509014,0.709286052106813,-6.945439996586847,-5.126545698245076,3.5962663834899105,0.3719160903786542,0.8186314494069665,2.911912906812504
occlusion,pattern_uniform_n16,kalman,0.20000000298023224,200,2.2643793294811623,3.5494918174813157,-4.295378211811675,-1.8200052705728882,6.65219385401743,1.2108471664134413,0.8075703179370612,3.9089129430614413
occlusion,pattern_uniform_n16,kalman,0.5,200,23.77774206710048,13.761706116638114,1.7029013225710035,0.6945293139847073,17.253825494298074,19.38545131377876,0.7389542246237397,7.418832922985311
occlusion,pattern_uniform_n16,harmonic,0.009999999776482582,200,1.06758636897197,0.28403020044236743,-6.649066068120904,-5.105384977583155,3.8521036852864032,0.3618266133626457,0.8382771497219801,2.4573725404258586
occlusion,pattern_uniform_n16,harmonic,0.019999999552965164,200,1.1478808206925168,0.5989679955807683,-7.7447586894430565,-6.253139257604975,4.163400386899569,0.4183965226780856,0.830147005347535,2.8131611207016975
