family,case,model,event,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
occlusion,history_flat,neural_flow,history_switch_only,156,0.3095211408693173,-5.093096825103319,-5.504670579163492,-9.200061104663762,-0.9577928410846115,0.1586633516510632,0.8502596023683555,2.900139740692117
occlusion,history_flat,neural_flow,stable_los,351,0.1574211132800886,-8.029370206039408,-8.047819320421487,-11.39344126548382,-2.3251244939968645,0.11880434365510911,0.9013879756812017,2.4478668531139602
occlusion,history_flat,neural_flow,stable_nlos,582,0.9286634972471227,-0.3214162482529381,-1.555078549840629,-1.203905781342911,2.729043340957322,0.2972721826276923,0.5407968736922767,3.0912060114205815
occlusion,history_flat,time_rwkv_csi,future_switch_only,111,0.7502850170733893,-1.2477372617054754,-0.8919846165739405,-0.7404578032971155,0.551057738094546,0.47154397473813175,0.5658037081226572,9.864935195123827
occlusion,history_flat,time_rwkv_csi,history_switch_only,156,0.32010945431232896,-4.947014989422778,-5.044527718998239,-8.174079077646049,-0.8014753939892163,0.1808444914049454,0.8040624832292684,3.343917845748365
occlusion,history_flat,time_rwkv_csi,stable_los,351,0.19102437955962806,-7.189112022153823,-7.162388939827932,-10.624009321511709,-1.4986408542870224,0.14206250308580998,0.8568521123326402,2.91708582694751
occlusion,history_flat,time_rwkv_csi,stable_nlos,582,0.8985929008104432,-0.46437016803564746,-1.6128776478038134,-1.1411774415800704,2.4438623918038123,0.30496750900631286,0.5260089525132927,3.468982136477892
occlusion,history_flat,tpatchgnn,future_switch_only,111,0.8044151378803895,-0.9451976523086341,-1.0976202935545984,-1.5955525582453176,1.2845580769633236,0.3741239723526264,0.7661821604580492,7.327757777268621
occlusion,history_flat,tpatchgnn,history_switch_only,156,0.2912243433305636,-5.357723253333802,-6.525582717290651,-10.834978120714272,-1.356496205384036,0.1173337416331868,0.8842157742653328,2.063987273054245
occlusion,history_flat,tpatchgnn,stable_los,351,0.11123114232931743,-9.537736026078019,-9.734071481984687,-12.158577097010983,-5.019011496958331,0.07619123392318179,0.9348223211079242,1.6627950853631006
occlusion,history_flat,tpatchgnn,stable_nlos,582,0.9632458408155936,-0.16262857544379197,-1.3950993667403195,-1.084632668875145,3.0521739785747712,0.27505691886752087,0.5527840774068573,2.4551824502042043
occlusion,history_reverse,cru,future_switch_only,111,0.6553047421631647,-1.835566892270708,-0.9778181572005823,-2.0467549862206806,0.4690910974323489,0.43683893670671964,0.7022155330659033,9.366690551216069
occlusion,history_reverse,cru,history_switch_only,156,0.27332105714706884,-5.63326908188445,-6.228421269669227,-8.439692876805903,-1.2332277606906192,0.17233067049575113,0.8569721108457694,3.3764267741487575
occlusion,history_reverse,cru,stable_los,351,0.24044039769315736,-6.189925623711929,-6.75728562167234,-10.187459439907176,-2.291649435593293,0.1367302194638695,0.9065549382449066,3.099784159252786
occlusion,history_reverse,cru,stable_nlos,582,0.8370666502502065,-0.7723996054501249,-1.7814691693281302,-1.4627598806296005,1.9392368491738783,0.3485921977463505,0.5309780745733452,5.047852625630322
occlusion,history_reverse,ct_transformer_csi,future_switch_only,111,0.7164532572695952,-1.448121385144773,-1.5772994509069025,-1.969844065119766,0.7792886501223977,0.38162060071995296,0.732833057641983,7.893990823680216
occlusion,history_reverse,ct_transformer_csi,history_switch_only,156,0.24821928691268952,-6.05164476365389,-7.0371763194050345,-9.9298424521393,-0.9425741611963847,0.11510604634410508,0.8785366745283588,2.2371023812164097
occlusion,history_reverse,ct_transformer_csi,stable_los,351,0.097325303901897,-10.117742315069405,-10.383829374755582,-12.01420253078284,-6.490019809367204,0.06010524108853361,0.934219966077397,1.3247839345814305
occlusion,history_reverse,ct_transformer_csi,stable_nlos,582,0.8254168853842309,-0.833266510944296,-1.9128834863179291,-1.3176783895209858,1.5829515456157113,0.3804494934845128,0.5332349234247017,6.206043497143198
occlusion,history_reverse,harmonic,future_switch_only,111,1.7746722617664852,2.491181613075129,0.22441232423834118,-0.39491067373928795,4.130507732474745,0.8723021473794303,0.7371179532628875,8.567147513230642
occlusion,history_reverse,harmonic,history_switch_only,156,1.0358732816500542,0.15306631426494452,-3.828073913389357,-5.036657000604432,5.42171580477569,0.39530147197178733,0.8787129878615721,3.9506038162761774
occlusion,history_reverse,harmonic,stable_los,351,0.11987637131451032,-9.212664117218566,-9.21838630439628,-10.622748695962137,-5.985363854465029,0.05846336905504882,0.9314342137755152,1.2560369326199732
occlusion,history_reverse,harmonic,stable_nlos,582,1.2008816117238368,0.7950019482226062,0.07185890548824977,0.18798687451661167,3.372700552501682,0.3249248233915966,0.5048216905778304,4.697249887059074
occlusion,history_reverse,hold,future_switch_only,111,1.187513435613427,0.7463853196407327,-0.9029650471658535,-1.7416154717357444,2.2501554801532175,0.4029755735225023,0.7704906046122044,5.024359532153687
occlusion,history_reverse,hold,history_switch_only,156,0.3867495355027644,-4.125701992283554,-7.756457237092745,-10.936501420688785,-0.20526362007445326,0.11361190179536024,0.8857766297908548,1.24063884458827
occlusion,history_reverse,hold,stable_los,351,0.08127010972113044,-10.900691539145825,-11.370896121480602,-12.217115044861291,-7.458584760384614,0.03551208651586478,0.9361839808969417,0.46564857056430753
occlusion,history_reverse,hold,stable_nlos,582,1.1447040051572093,0.5869320235677876,-0.7531522397822792,-0.7354584114943254,4.103919425954225,0.28222782722245454,0.5534415776223561,1.6146901690375532
occlusion,history_reverse,kalman,future_switch_only,111,2.9542932739263184,4.704536057104524,2.4012413849224616,1.8740777205786505,5.484254258893991,1.2875458208491672,0.6854462855168291,6.288138922270353
occlusion,history_reverse,kalman,history_switch_only,156,1.9784258238923473,2.963197721263671,-1.4215096962910239,-3.242542164541482,6.254469016039206,1.000704257044559,0.8409304529046401,5.040800491968791
occlusion,history_reverse,kalman,stable_los,351,0.22361624786534753,-6.5049664397925975,-6.0544120730155315,-7.832879690917021,-2.709246505143219,0.10635506091944534,0.8819096280935823,2.1554631777618485
occlusion,history_reverse,kalman,stable_nlos,582,2.281864255660332,3.5828980538844406,2.542940520081638,2.344484481472822,6.018769265693255,0.5639327861547879,0.4713293573806299,3.827527747758347
occlusion,history_reverse,latent_ode,future_switch_only,111,0.7189656023800306,-1.4329188716078247,-1.1501715720258217,-1.159925156532591,0.7369871239151609,0.4557215151049801,0.6787454723674167,9.6267169700151
occlusion,history_reverse,latent_ode,history_switch_only,156,0.305870613946657,-5.144622451920021,-5.3905505834230265,-8.317487324706036,-1.0942465542435196,0.17188060421083207,0.8565082721030101,3.3081607399150155
occlusion,history_reverse,latent_ode,stable_los,351,0.1696441723501437,-7.704610547317773,-7.70836854290831,-10.628478057367337,-2.478274565441511,0.1348681130293595,0.9051900687720361,2.9120818875196717
occlusion,history_reverse,latent_ode,stable_nlos,582,0.8784936166033781,-0.5626138987045145,-1.7270872488962683,-1.285888797826364,2.2430221941715387,0.30902640128009545,0.5300605238644931,3.7328088178532997
occlusion,history_reverse,linear,future_switch_only,111,3.102632974886948,4.917304038765094,2.6135456119731253,2.071649983421634,5.7408403048032355,1.3457347700825415,0.6928741132488122,6.024728751800081
occlusion,history_reverse,linear,history_switch_only,156,2.0796864298649895,3.179978580178626,-1.1956604933572863,-3.1013216907433754,6.391700758180264,1.065828003968375,0.8372744493759595,5.108839197036548
occlusion,history_reverse,linear,stable_los,351,0.2359967804314871,-6.270939218196261,-5.815256275281034,-7.700255793405205,-2.4833561498468244,0.11153510878621428,0.8765792953131715,2.2198959516409116
occlusion,history_reverse,linear,stable_nlos,582,2.417790593156956,3.834186835492895,2.773174847926076,2.5818174833197647,6.343747355025574,0.6048614044907371,0.47367217661764893,3.7609847107961376
occlusion,history_reverse,neural_flow,future_switch_only,111,0.742169812552396,-1.2949671437492145,-1.087155000239605,-1.0849209334528862,0.9898553192160806,0.4452581078648936,0.6662023529276118,9.397402149700635
occlusion,history_reverse,neural_flow,history_switch_only,156,0.30610671632968706,-5.1412714138299265,-5.537593910615939,-9.22837641217113,-0.9746173802087399,0.1584004132910195,0.8500878397220125,2.899272366068684
occlusion,history_reverse,neural_flow,stable_los,351,0.15742991960582925,-8.029127263296553,-8.037770265791664,-11.394560381653768,-2.3223305162117995,0.11875529532207865,0.9011410052789922,2.448256491380943
occlusion,history_reverse,neural_flow,stable_nlos,582,0.9197358835704686,-0.3633686914999915,-1.5947156993261014,-1.2084739536704177,2.680472445332342,0.30127069739845586,0.5342555850651435,3.247155457835875
occlusion,history_reverse,time_rwkv_csi,future_switch_only,111,0.7485243423237793,-1.2579407165360281,-0.9069177480726288,-0.7918656823532279,0.54540664965134,0.47074582848513313,0.5570449737479558,9.843079225504184
occlusion,history_reverse,time_rwkv_csi,history_switch_only,156,0.32104653563239993,-4.934320121323166,-5.078643429477799,-8.11532523229139,-0.7367202003102353,0.18160319007858142,0.800971777157452,3.354766352415586
occlusion,history_reverse,time_rwkv_csi,stable_los,351,0.19004971884553218,-7.2113276854403585,-7.186042620843614,-10.635640010007695,-1.5463250410017841,0.1412418760240965,0.8578904451977494,2.8995640593344754
